recording,monkey,day,outer_fold,family,status,p,m,tau,mean_nmse,se_nmse,best_mean_nmse,one_se_threshold,boundary,rank,condition,condition_original,fit_status
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,ar,ok,15,0,1,0.0050449780755767,0.0001387733569833,0.0049548081078724,0.0050860271281435,False,16,120218544.5505647,120446820.91241662,ok
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,0,embedding,ok,0,9,1,0.006600372389468,0.0001796205861602,0.006600372389468,0.0067799929756282,True,10,17434502.72384693,17439391.118674,ok
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,ar,ok,15,0,1,0.0051056844101008,0.0002193412770175,0.005012722040959,0.0052236993673141,False,16,121600494.48414443,121805520.55633512,ok
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,1,embedding,ok,0,9,1,0.0066970968700094,0.0002991007613498,0.0066970968700094,0.0069961976313593,True,10,17492084.568322033,17494706.249964725,ok
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,ar,ok,18,0,1,0.0051081005419956,5.555032781172806e-05,0.0050863281808395,0.0051434349110661,False,19,123576572.74317364,124097162.68812253,ok
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,2,embedding,ok,0,9,1,0.0067823046319205,7.871969606718224e-05,0.0067823046319205,0.0068610243279877,True,10,17320643.752034947,17320673.784898173,ok
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,ar,ok,17,0,1,0.0050584998029545,8.017544880278725e-05,0.005004328573501,0.0050820602055499,False,18,123020023.18974929,123380895.18405846,ok
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,3,embedding,ok,0,9,1,0.0066981666232436,0.0001454648180747,0.0066981666232436,0.0068436314413183,True,10,17456412.28038464,17456905.109647274,ok
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,ar,ok,15,0,1,0.0049789775137567,0.0001393094447838,0.0048938411754952,0.0050340302293546,False,16,122777658.92873754,122992477.54960954,ok
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,4,embedding,ok,0,9,1,0.0065268771610789,0.0002037058420136,0.0065268771610789,0.0067305830030925,True,10,17661248.378005944,17662882.461101692,ok
