recording,family,monkey,n_valid_folds,modal_p,p_agreement,modal_m,m_agreement,modal_tau,tau_agreement,boundary_folds
monkeyM_session-o080506002-22_lfp-1,ar,M,5,15,0.6,0,1.0,1,1.0,0
monkeyM_session-o080506002-22_lfp-1,embedding,M,5,0,1.0,9,1.0,1,1.0,5
