recording,outer_fold,inner_fold,p,pole_index,real,imaginary,magnitude,frequency_hz
monkeyM_session-o080506002-22_lfp-1,0,0,1,0,0.9880396404944608,0.0,0.9880396404944608,0.0
monkeyM_session-o080506002-22_lfp-1,0,1,1,0,0.987894453449792,0.0,0.987894453449792,0.0
monkeyM_session-o080506002-22_lfp-1,0,2,1,0,0.9869957108488442,0.0,0.9869957108488442,0.0
monkeyM_session-o080506002-22_lfp-1,0,0,2,0,0.9825122067373508,0.1678496725394818,0.9967465821157904,26.929615859965867
monkeyM_session-o080506002-22_lfp-1,0,0,2,1,0.9825122067373508,-0.1678496725394818,0.9967465821157904,-26.929615859965867
monkeyM_session-o080506002-22_lfp-1,0,1,2,0,0.9825014436229405,0.1655493612167448,0.9963511819235396,26.567705852134715
monkeyM_session-o080506002-22_lfp-1,0,1,2,1,0.9825014436229405,-0.1655493612167448,0.9963511819235396,-26.567705852134715
monkeyM_session-o080506002-22_lfp-1,0,2,2,0,0.982106370815928,0.1679235763235269,0.9963589970901636,26.95216908621652
monkeyM_session-o080506002-22_lfp-1,0,2,2,1,0.982106370815928,-0.1679235763235269,0.9963589970901636,-26.95216908621652
monkeyM_session-o080506002-22_lfp-1,0,0,3,0,0.9735073113100942,0.2104403698991657,0.995992788356174,33.88274123357349
monkeyM_session-o080506002-22_lfp-1,0,0,3,1,0.9735073113100942,-0.2104403698991657,0.995992788356174,-33.88274123357349
monkeyM_session-o080506002-22_lfp-1,0,0,3,2,0.9915141110436784,0.0,0.9915141110436784,0.0
monkeyM_session-o080506002-22_lfp-1,0,1,3,0,0.9730905351955544,0.2106435591339318,0.995628393875838,33.92856514320091
monkeyM_session-o080506002-22_lfp-1,0,1,3,1,0.9730905351955544,-0.2106435591339318,0.995628393875838,-33.92856514320091
monkeyM_session-o080506002-22_lfp-1,0,1,3,2,0.9918733323697132,0.0,0.9918733323697132,0.0
monkeyM_session-o080506002-22_lfp-1,0,2,3,0,0.9734610622696752,0.2101160582165984,0.9958791079622492,33.83364360888546
monkeyM_session-o080506002-22_lfp-1,0,2,3,1,0.9734610622696752,-0.2101160582165984,0.9958791079622492,-33.83364360888546
monkeyM_session-o080506002-22_lfp-1,0,2,3,2,0.9910475008360052,0.0,0.9910475008360052,0.0
monkeyM_session-o080506002-22_lfp-1,0,0,4,0,0.9589838103923922,0.2572041198812066,0.992876582400138,41.704629430015714
monkeyM_session-o080506002-22_lfp-1,0,0,4,1,0.9589838103923922,-0.2572041198812066,0.992876582400138,-41.704629430015714
monkeyM_session-o080506002-22_lfp-1,0,0,4,2,0.9844117277933926,0.128084323259781,0.9927094457504112,20.592371344974666
monkeyM_session-o080506002-22_lfp-1,0,0,4,3,0.9844117277933926,-0.128084323259781,0.9927094457504112,-20.592371344974666
monkeyM_session-o080506002-22_lfp-1,0,1,4,0,0.9591365415439772,0.2579290279752969,0.9932121066505498,41.810485375300296
monkeyM_session-o080506002-22_lfp-1,0,1,4,1,0.9591365415439772,-0.2579290279752969,0.9932121066505498,-41.810485375300296
monkeyM_session-o080506002-22_lfp-1,0,1,4,2,0.9845632657293036,0.1250734128991296,0.9924757845095205,20.11043682069446
monkeyM_session-o080506002-22_lfp-1,0,1,4,3,0.9845632657293036,-0.1250734128991296,0.9924757845095205,-20.11043682069446
monkeyM_session-o080506002-22_lfp-1,0,2,4,0,0.959711017362926,0.255495537219044,0.9931380600836072,41.4099785587974
monkeyM_session-o080506002-22_lfp-1,0,2,4,1,0.959711017362926,-0.255495537219044,0.9931380600836072,-41.4099785587974
monkeyM_session-o080506002-22_lfp-1,0,2,4,2,0.9835778177722874,0.1273127524952207,0.9917831721508508,20.48685578287635
monkeyM_session-o080506002-22_lfp-1,0,2,4,3,0.9835778177722874,-0.1273127524952207,0.9917831721508508,-20.48685578287635
monkeyM_session-o080506002-22_lfp-1,0,0,5,0,0.9381004038798232,0.3303037599296428,0.9945516284151096,53.88080727761499
monkeyM_session-o080506002-22_lfp-1,0,0,5,1,0.9381004038798232,-0.3303037599296428,0.9945516284151096,-53.88080727761499
monkeyM_session-o080506002-22_lfp-1,0,0,5,2,0.9970920173524228,0.0,0.9970920173524228,0.0
monkeyM_session-o080506002-22_lfp-1,0,0,5,3,0.9793261743050304,0.1874961201399332,0.9971131083013876,30.10656305300045
monkeyM_session-o080506002-22_lfp-1,0,0,5,4,0.9793261743050304,-0.1874961201399332,0.9971131083013876,-30.10656305300045
monkeyM_session-o080506002-22_lfp-1,0,1,5,0,0.9383977867612016,0.3307247962010302,0.9949720081592922,53.9285348314165
monkeyM_session-o080506002-22_lfp-1,0,1,5,1,0.9383977867612016,-0.3307247962010302,0.9949720081592922,-53.9285348314165
monkeyM_session-o080506002-22_lfp-1,0,1,5,2,0.9973979563916868,0.0,0.9973979563916868,0.0
monkeyM_session-o080506002-22_lfp-1,0,1,5,3,0.9789729730841804,0.1867206239335379,0.9966206266335296,29.995535848559115
monkeyM_session-o080506002-22_lfp-1,0,1,5,4,0.9789729730841804,-0.1867206239335379,0.9966206266335296,-29.995535848559115
monkeyM_session-o080506002-22_lfp-1,0,2,5,0,0.938122434284014,0.3311860358962346,0.9948657658597094,54.01276869785133
monkeyM_session-o080506002-22_lfp-1,0,2,5,1,0.938122434284014,-0.3311860358962346,0.9948657658597094,-54.01276869785133
monkeyM_session-o080506002-22_lfp-1,0,2,5,2,0.9968108645118516,0.0,0.9968108645118516,0.0
monkeyM_session-o080506002-22_lfp-1,0,2,5,3,0.9787466329582653,0.1882046682531392,0.996677464719362,30.2350915469702
monkeyM_session-o080506002-22_lfp-1,0,2,5,4,0.9787466329582653,-0.1882046682531392,0.996677464719362,-30.2350915469702
monkeyM_session-o080506002-22_lfp-1,0,0,6,0,0.9223756700259228,0.3668637819695812,0.9926559883347276,60.24886601943222
monkeyM_session-o080506002-22_lfp-1,0,0,6,1,0.9223756700259228,-0.3668637819695812,0.9926559883347276,-60.24886601943222
monkeyM_session-o080506002-22_lfp-1,0,0,6,2,0.971798635247452,0.2102715334696839,0.9942870336359126,33.91411425038129
monkeyM_session-o080506002-22_lfp-1,0,0,6,3,0.971798635247452,-0.2102715334696839,0.9942870336359126,-33.91411425038129
monkeyM_session-o080506002-22_lfp-1,0,0,6,4,0.9805512589325184,0.0883928635715195,0.9845273331525743,14.30852117748495
monkeyM_session-o080506002-22_lfp-1,0,0,6,5,0.9805512589325184,-0.0883928635715195,0.9845273331525743,-14.30852117748495
monkeyM_session-o080506002-22_lfp-1,0,1,6,0,0.9223827564078269,0.3678790281927209,0.9930382312391206,60.39964031872286
monkeyM_session-o080506002-22_lfp-1,0,1,6,1,0.9223827564078269,-0.3678790281927209,0.9930382312391206,-60.39964031872286
monkeyM_session-o080506002-22_lfp-1,0,1,6,2,0.9714081018212988,0.210784358808063,0.9940139567441622,34.00759106989127
monkeyM_session-o080506002-22_lfp-1,0,1,6,3,0.9714081018212988,-0.210784358808063,0.9940139567441622,-34.00759106989127
monkeyM_session-o080506002-22_lfp-1,0,1,6,4,0.980980699384787,0.0867731517074982,0.9848110034025404,14.041586126586909
monkeyM_session-o080506002-22_lfp-1,0,1,6,5,0.980980699384787,-0.0867731517074982,0.9848110034025404,-14.041586126586909
monkeyM_session-o080506002-22_lfp-1,0,2,6,0,0.9216921111704256,0.3691600916268924,0.9928723588879748,60.63139367066483
monkeyM_session-o080506002-22_lfp-1,0,2,6,1,0.9216921111704256,-0.3691600916268924,0.9928723588879748,-60.63139367066483
monkeyM_session-o080506002-22_lfp-1,0,2,6,2,0.9718662771728724,0.2105126050767556,0.994404152043856,33.94953572041367
monkeyM_session-o080506002-22_lfp-1,0,2,6,3,0.9718662771728724,-0.2105126050767556,0.994404152043856,-33.94953572041367
monkeyM_session-o080506002-22_lfp-1,0,2,6,4,0.9803089701585044,0.0875229122584602,0.9842082793511898,14.171928366917822
monkeyM_session-o080506002-22_lfp-1,0,2,6,5,0.9803089701585044,-0.0875229122584602,0.9842082793511898,-14.171928366917822
monkeyM_session-o080506002-22_lfp-1,0,0,7,0,0.886483802092672,0.4270979215991909,0.9840051656404188,71.45623321931129
monkeyM_session-o080506002-22_lfp-1,0,0,7,1,0.886483802092672,-0.4270979215991909,0.9840051656404188,-71.45623321931129
monkeyM_session-o080506002-22_lfp-1,0,0,7,2,0.9467030485988074,0.2843771800851937,0.9884923079010188,46.443274081552666
monkeyM_session-o080506002-22_lfp-1,0,0,7,3,0.9467030485988074,-0.2843771800851937,0.9884923079010188,-46.443274081552666
monkeyM_session-o080506002-22_lfp-1,0,0,7,4,0.9959872312748528,0.0,0.9959872312748528,0.0
monkeyM_session-o080506002-22_lfp-1,0,0,7,5,0.979469869677048,0.1778248260954915,0.9954812375836448,28.583580772698063
monkeyM_session-o080506002-22_lfp-1,0,0,7,6,0.979469869677048,-0.1778248260954915,0.9954812375836448,-28.583580772698063
monkeyM_session-o080506002-22_lfp-1,0,1,7,0,0.8864296391638291,0.4275917383467545,0.9841708184510024,71.53197801458397
monkeyM_session-o080506002-22_lfp-1,0,1,7,1,0.8864296391638291,-0.4275917383467545,0.9841708184510024,-71.53197801458397
monkeyM_session-o080506002-22_lfp-1,0,1,7,2,0.9470084862758924,0.284007226699097,0.9886785007755904,46.37209242336809
monkeyM_session-o080506002-22_lfp-1,0,1,7,3,0.9470084862758924,-0.284007226699097,0.9886785007755904,-46.37209242336809
monkeyM_session-o080506002-22_lfp-1,0,1,7,4,0.9962561565140058,0.0,0.9962561565140058,0.0
monkeyM_session-o080506002-22_lfp-1,0,1,7,5,0.9789466732092288,0.176490936535526,0.994728927731874,28.388546697394634
monkeyM_session-o080506002-22_lfp-1,0,1,7,6,0.9789466732092288,-0.176490936535526,0.994728927731874,-28.388546697394634
monkeyM_session-o080506002-22_lfp-1,0,2,7,0,0.8857361708466056,0.4286866897358987,0.9840227854591224,71.74021693961778
monkeyM_session-o080506002-22_lfp-1,0,2,7,1,0.8857361708466056,-0.4286866897358987,0.9840227854591224,-71.74021693961778
monkeyM_session-o080506002-22_lfp-1,0,2,7,2,0.9468956880006596,0.2830709361194025,0.9883018763666076,46.232886252186375
monkeyM_session-o080506002-22_lfp-1,0,2,7,3,0.9468956880006596,-0.2830709361194025,0.9883018763666076,-46.232886252186375
monkeyM_session-o080506002-22_lfp-1,0,2,7,4,0.9956620634681258,0.0,0.9956620634681258,0.0
monkeyM_session-o080506002-22_lfp-1,0,2,7,5,0.978539466713632,0.1784362472654057,0.9946753149919628,28.706431994136643
monkeyM_session-o080506002-22_lfp-1,0,2,7,6,0.978539466713632,-0.1784362472654057,0.9946753149919628,-28.706431994136643
monkeyM_session-o080506002-22_lfp-1,0,0,8,0,0.8333035315243573,0.5003066402591095,0.9719575659144404,86.05600141349626
monkeyM_session-o080506002-22_lfp-1,0,0,8,1,0.8333035315243573,-0.5003066402591095,0.9719575659144404,-86.05600141349626
monkeyM_session-o080506002-22_lfp-1,0,0,8,2,0.9315787252055022,0.3323959626020715,0.9891036332001144,54.54687030249246
monkeyM_session-o080506002-22_lfp-1,0,0,8,3,0.9315787252055022,-0.3323959626020715,0.9891036332001144,-54.54687030249246
monkeyM_session-o080506002-22_lfp-1,0,0,8,4,0.9741536812035984,0.1974174788895363,0.9939562644169122,31.822632296765438
monkeyM_session-o080506002-22_lfp-1,0,0,8,5,0.9741536812035984,-0.1974174788895363,0.9939562644169122,-31.822632296765438
monkeyM_session-o080506002-22_lfp-1,0,0,8,6,0.9735031228245024,0.0682378696584558,0.9758917650050044,11.137775882152413
monkeyM_session-o080506002-22_lfp-1,0,0,8,7,0.9735031228245024,-0.0682378696584558,0.9758917650050044,-11.137775882152413
monkeyM_session-o080506002-22_lfp-1,0,1,8,0,0.833495100895393,0.5007976001361546,0.972374577783044,86.10875660630283
monkeyM_session-o080506002-22_lfp-1,0,1,8,1,0.833495100895393,-0.5007976001361546,0.972374577783044,-86.10875660630283
monkeyM_session-o080506002-22_lfp-1,0,1,8,2,0.9318451117217764,0.3328887543261457,0.9895202044408102,54.60712283111898
monkeyM_session-o080506002-22_lfp-1,0,1,8,3,0.9318451117217764,-0.3328887543261457,0.9895202044408102,-54.60712283111898
monkeyM_session-o080506002-22_lfp-1,0,1,8,4,0.9736460619131326,0.1976242597414028,0.9934998751470928,31.871249200243184
monkeyM_session-o080506002-22_lfp-1,0,1,8,5,0.9736460619131326,-0.1976242597414028,0.9934998751470928,-31.871249200243184
monkeyM_session-o080506002-22_lfp-1,0,1,8,6,0.9749289910760316,0.0676501598186966,0.977273289189889,11.026060937715258
monkeyM_session-o080506002-22_lfp-1,0,1,8,7,0.9749289910760316,-0.0676501598186966,0.977273289189889,-11.026060937715258
monkeyM_session-o080506002-22_lfp-1,0,2,8,0,0.8316006706974073,0.5038672674083448,0.9723383663467826,86.69914850667834
monkeyM_session-o080506002-22_lfp-1,0,2,8,1,0.8316006706974073,-0.5038672674083448,0.9723383663467826,-86.69914850667834
monkeyM_session-o080506002-22_lfp-1,0,2,8,2,0.9312376258166672,0.3341240923400516,0.989364657150601,54.82713941081771
monkeyM_session-o080506002-22_lfp-1,0,2,8,3,0.9312376258166672,-0.3341240923400516,0.989364657150601,-54.82713941081771
monkeyM_session-o080506002-22_lfp-1,0,2,8,4,0.973917211785335,0.1985578080536415,0.9939516781769564,32.0091084644374
monkeyM_session-o080506002-22_lfp-1,0,2,8,5,0.973917211785335,-0.1985578080536415,0.9939516781769564,-32.0091084644374
monkeyM_session-o080506002-22_lfp-1,0,2,8,6,0.9747350755462332,0.0685317587292276,0.9771412740513226,11.171496078727818
monkeyM_session-o080506002-22_lfp-1,0,2,8,7,0.9747350755462332,-0.0685317587292276,0.9771412740513226,-11.171496078727818
monkeyM_session-o080506002-22_lfp-1,0,0,9,0,0.7365992107397801,0.5881024257791141,0.9425724696116184,107.2331751396878
monkeyM_session-o080506002-22_lfp-1,0,0,9,1,0.7365992107397801,-0.5881024257791141,0.9425724696116184,-107.2331751396878
monkeyM_session-o080506002-22_lfp-1,0,0,9,2,0.9013757228295248,0.3783503374004325,0.9775618504818352,63.25031629688248
monkeyM_session-o080506002-22_lfp-1,0,0,9,3,0.9013757228295248,-0.3783503374004325,0.9775618504818352,-63.25031629688248
monkeyM_session-o080506002-22_lfp-1,0,0,9,4,0.9410859047866788,0.2535145989410127,0.9746344607412484,41.8798254422983
monkeyM_session-o080506002-22_lfp-1,0,0,9,5,0.9410859047866788,-0.2535145989410127,0.9746344607412484,-41.8798254422983
monkeyM_session-o080506002-22_lfp-1,0,0,9,6,0.9910440697692868,0.0,0.9910440697692868,0.0
monkeyM_session-o080506002-22_lfp-1,0,0,9,7,0.9743475156132944,0.1720532411798693,0.9894217498025284,27.817299477138175
monkeyM_session-o080506002-22_lfp-1,0,0,9,8,0.9743475156132944,-0.1720532411798693,0.9894217498025284,-27.817299477138175
monkeyM_session-o080506002-22_lfp-1,0,1,9,0,0.7403485225234402,0.5852105638136108,0.9437093508075912,106.45751723013616
monkeyM_session-o080506002-22_lfp-1,0,1,9,1,0.7403485225234402,-0.5852105638136108,0.9437093508075912,-106.45751723013616
monkeyM_session-o080506002-22_lfp-1,0,1,9,2,0.9016791996302884,0.3780296719660606,0.9777176545059852,63.18306604498776
monkeyM_session-o080506002-22_lfp-1,0,1,9,3,0.9016791996302884,-0.3780296719660606,0.9777176545059852,-63.18306604498776
monkeyM_session-o080506002-22_lfp-1,0,1,9,4,0.941387946786306,0.2524333958118709,0.974645517958016,41.6965181698268
monkeyM_session-o080506002-22_lfp-1,0,1,9,5,0.941387946786306,-0.2524333958118709,0.974645517958016,-41.6965181698268
monkeyM_session-o080506002-22_lfp-1,0,1,9,6,0.9908173393449738,0.0,0.9908173393449738,0.0
monkeyM_session-o080506002-22_lfp-1,0,1,9,7,0.9733334646690192,0.1700988699881898,0.9880848440371182,27.535699889342894
monkeyM_session-o080506002-22_lfp-1,0,1,9,8,0.9733334646690192,-0.1700988699881898,0.9880848440371182,-27.535699889342894
monkeyM_session-o080506002-22_lfp-1,0,2,9,0,0.7387849522329984,0.5892017569663999,0.9449666216635412,107.14817927640996
monkeyM_session-o080506002-22_lfp-1,0,2,9,1,0.7387849522329984,-0.5892017569663999,0.9449666216635412,-107.14817927640996
monkeyM_session-o080506002-22_lfp-1,0,2,9,2,0.9015553043248395,0.379147139356205,0.9780360525247768,63.35856356004738
