recording,monkey,day,family,horizon_ms,mse,nmse,r2,pearson,nmse_persistence,r2_persistence,pearson_persistence,nmse_improvement,persistence_skill,n_trials
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ar,1,3.790496277848476e-11,5.4108766912220395e-11,0.9999999999458912,0.9999999999730812,0.0281364207616284,0.9718635792383716,0.98594986661072,0.0281364207075197,0.9999999978848076,198
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ar,10,0.0035110590227335,0.0050643051270635,0.9949356948729364,0.997525626926018,1.9106446414656104,-0.91064464146561,0.0466505268704686,1.9055803363385464,0.9970800624789216,198
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,embedding,1,6.805092642107334e-11,9.927953542761416e-11,0.9999999999007204,0.9999999999506168,0.0281364207616284,0.9718635792383716,0.98594986661072,0.0281364206623489,0.99999999619316,198
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,embedding,10,0.0045916929100117,0.006662924387214,0.9933370756127858,0.9967370811997353,1.9106446414656104,-0.91064464146561,0.0466505268704686,1.903981717078396,0.9961861030130787,198
