recording,monkey,family,p,m,tau,horizon_ms,mean_nmse,outer_fold_sd,mean_persistence,valid_folds,max_condition
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,1,1,0.0003428139869947,9.85979515211345e-06,0.0148479247928859,5,19.27043363719667
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,1,10,0.4452323505662628,0.0075224024906824,1.1140764964215075,5,19.27043363719667
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,2,1,0.0007606496467752,2.1903809653996564e-05,0.0148479247928859,5,9.639711756144004
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,2,10,0.4902293582012634,0.0078601847532112,1.1140764964215075,5,9.639711756144004
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,5,1,0.0028586876406775,8.453915910723139e-05,0.0148479247928859,5,3.867652932824788
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,5,10,0.606355939145039,0.0085395213861081,1.1140764964215075,5,3.867652932824788
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,10,1,0.0080055003870025,0.00026073903703,0.0148479247928859,5,1.9675275653882864
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,10,10,0.7370632435024451,0.009495082389747,1.1140764964215075,5,1.9675275653882864
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,15,1,0.0125774305213932,0.0004353352328424,0.0148479247928859,5,1.3808387460486533
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,15,10,0.8020070425187432,0.0106912605381041,1.1140764964215075,5,1.3808387460486533
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,20,1,0.0146571978982066,0.0004587574383268,0.0148479247928859,5,1.1479218584066633
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,20,10,0.8103288443645432,0.009031518641438,1.1140764964215075,5,1.1479218584066633
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,25,1,0.014788251934073,0.0003528477840734,0.0148479247928859,5,1.0704713464736275
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,25,10,0.7808686653095501,0.0037069591842581,1.1140764964215075,5,1.0704713464736275
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,30,1,0.0143060240717486,0.0002355961240897,0.0148479247928859,5,1.0971473378626715
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,30,10,0.7772575724105238,0.0045807346610561,1.1140764964215075,5,1.0971473378626715
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,40,1,0.0148456033968376,0.0004328020104264,0.0148479247928859,5,1.2677090252614018
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,40,10,0.8066519657713445,0.0149369513211061,1.1140764964215075,5,1.2677090252614018
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,50,1,0.0136255560022733,0.000341245359348,0.0148479247928859,5,1.1576948931161153
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,50,10,0.7363609599550289,0.0116695345928205,1.1140764964215075,5,1.1576948931161153
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,75,1,0.0144681517593413,0.0004043745771857,0.0148479247928859,5,1.307712645528385
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,75,10,0.8112435415198707,0.0110160412568265,1.1140764964215075,5,1.307712645528385
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,100,1,0.0147075567108559,0.0004281748287161,0.0148479247928859,5,1.2409396667679309
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,2,100,10,0.7973473755492082,0.0103401182461517,1.1140764964215075,5,1.2409396667679309
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,1,1,1.2825223689777528e-05,4.6490490923905415e-07,0.0148479247928859,5,269.68684376741066
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,1,10,0.2192570553430897,0.0060233848126904,1.1140764964215075,5,269.68684376741066
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,2,1,7.648405551357146e-05,2.7673840183665503e-06,0.0148479247928859,5,67.19350664118399
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,2,10,0.2917771488640942,0.0075406128077649,1.1140764964215075,5,67.19350664118399
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,5,1,0.0011572571531725,4.2407415413757344e-05,0.0148479247928859,5,10.639556949908478
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,5,10,0.4942883962833261,0.0104432557903289,1.1140764964215075,5,10.639556949908478
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,10,1,0.0066395548411866,0.0002390134500377,0.0148479247928859,5,2.861020057712972
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,10,10,0.6721164048836081,0.0072149387707663,1.1140764964215075,5,2.861020057712972
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,15,1,0.0115809357176983,0.0003112531958965,0.0148479247928859,5,1.5823401442943612
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,15,10,0.757349330464139,0.0035032495984022,1.1140764964215075,5,1.5823401442943612
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,20,1,0.0146798670530124,0.0004620432968582,0.0148479247928859,5,1.2832024607699075
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,20,10,0.8047572952053688,0.0137560755666833,1.1140764964215075,5,1.2832024607699075
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,25,1,0.0135958986576139,0.0002804883334873,0.0148479247928859,5,1.1770597114146502
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,25,10,0.7051806988102103,0.0074136799226338,1.1140764964215075,5,1.1770597114146502
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,30,1,0.013901765133502,0.0001846031393781,0.0148479247928859,5,1.487001976628066
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,30,10,0.7447715673522535,0.0062577449487855,1.1140764964215075,5,1.487001976628066
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,40,1,0.0147210069130065,0.0004347977588965,0.0148479247928859,5,1.4825528500612788
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,40,10,0.8071550916084792,0.0143114081892138,1.1140764964215075,5,1.4825528500612788
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,50,1,0.0135639184946016,0.0003499306436326,0.0148479247928859,5,1.2870522976137075
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,50,10,0.7253278893985071,0.0120270820798637,1.1140764964215075,5,1.2870522976137075
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,75,1,0.0144608267327425,0.0004013804409437,0.0148479247928859,5,1.445335554244069
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,75,10,0.8120105814371913,0.0112085762577348,1.1140764964215075,5,1.445335554244069
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,100,1,0.0147084999950646,0.0004314813730935,0.0148479247928859,5,1.3659298363969012
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,3,100,10,0.7925210871952062,0.0101173891130278,1.1140764964215075,5,1.3659298363969012
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,1,1,5.87952265672286e-07,2.1071207825162296e-08,0.0148479247928859,5,2926.3608842176254
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,1,10,0.0966835725467477,0.0027912751304189,1.1140764964215075,5,2926.3608842176254
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,2,1,1.0396371261943907e-05,3.743296061572445e-07,0.0148479247928859,5,362.9314074236217
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,2,10,0.1739200646830559,0.0047854749917736,1.1140764964215075,5,362.9314074236217
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,5,1,0.0006759603955273,2.565421006498408e-05,0.0148479247928859,5,22.96085694107768
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,5,10,0.4657982792443376,0.0108256398027706,1.1140764964215075,5,22.96085694107768
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,10,1,0.0066682762670824,0.000236762667261,0.0148479247928859,5,3.746313593233952
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,10,10,0.676580733519849,0.0039683808799418,1.1140764964215075,5,3.746313593233952
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,15,1,0.0107544758151614,0.0003332685974994,0.0148479247928859,5,1.6926085090895446
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,15,10,0.6850321870017596,0.0062424713604828,1.1140764964215075,5,1.6926085090895446
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,20,1,0.0144858303153373,0.0004208523127592,0.0148479247928859,5,1.6107641214350097
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,20,10,0.7761539057604628,0.0085244793386976,1.1140764964215075,5,1.6107641214350097
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,25,1,0.0132377542011316,0.0002735125674226,0.0148479247928859,5,1.326549113955219
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,25,10,0.7049451293825708,0.0070397051298466,1.1140764964215075,5,1.326549113955219
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,30,1,0.0139137740477035,0.000172916887442,0.0148479247928859,5,1.6129022815647096
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,30,10,0.7410820095759457,0.0060525653146791,1.1140764964215075,5,1.6129022815647096
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,40,1,0.0147318152643956,0.0004383279539505,0.0148479247928859,5,1.619585051334974
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,40,10,0.8074490596834982,0.0141437562024824,1.1140764964215075,5,1.619585051334974
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,50,1,0.013553039501834,0.0003506088947317,0.0148479247928859,5,1.406242314551413
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,4,50,10,0.721106946972984,0.0121561061108576,1.1140764964215075,5,1.406242314551413
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,1,1,2.460144214142165e-08,7.533278064745005e-10,0.0148479247928859,5,28212.57278257623
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,1,10,0.0277969627170926,0.0006223212371653,1.1140764964215075,5,28212.57278257623
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,2,1,1.2989312769424587e-06,3.8224680764046764e-08,0.0148479247928859,5,1718.8955218765796
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,2,10,0.071569619793401,0.0013743509203824,1.1140764964215075,5,1718.8955218765796
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,5,1,0.0003256935500644,7.87935729499294e-06,0.0148479247928859,5,41.406873200760366
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,5,10,0.3488562676806412,0.003554157822603,1.1140764964215075,5,41.406873200760366
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,10,1,0.0066089421461867,0.0002463319302272,0.0148479247928859,5,4.464158215162992
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,10,10,0.6401771176469404,0.0075155150873675,1.1140764964215075,5,4.464158215162992
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,15,1,0.0107543578434899,0.0003213737270707,0.0148479247928859,5,1.917863578230186
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,15,10,0.6764687782749028,0.0029072904542425,1.1140764964215075,5,1.917863578230186
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,20,1,0.014412201024873,0.0004151073262947,0.0148479247928859,5,1.6630517984272288
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,20,10,0.7765773109071927,0.0077717971026187,1.1140764964215075,5,1.6630517984272288
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,25,1,0.0132076148514211,0.0002885705829771,0.0148479247928859,5,1.4428672501396795
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,25,10,0.6997027944739228,0.0073412379175597,1.1140764964215075,5,1.4428672501396795
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,30,1,0.0139267569403453,0.0001723954630693,0.0148479247928859,5,1.7753974294379735
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,30,10,0.7394591169058287,0.0067047059284268,1.1140764964215075,5,1.7753974294379735
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,40,1,0.0147346394264227,0.0004361909846455,0.0148479247928859,5,1.7519744398262236
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,40,10,0.8060848637826776,0.0130490510980872,1.1140764964215075,5,1.7519744398262236
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,50,1,0.013511922704957,0.0003578945009947,0.0148479247928859,5,1.524178047383743
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,5,50,10,0.7092771819651832,0.0125338814886173,1.1140764964215075,5,1.524178047383743
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,6,1,1,2.363780583670571e-09,1.0606776071122889e-10,0.0148479247928859,5,278000.9740404835
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,6,1,10,0.0129174599050652,0.0004634741024733,1.1140764964215075,5,278000.9740404835
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,6,2,1,3.570802651254399e-07,1.5532447355092093e-08,0.0148479247928859,5,8470.179616407622
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,6,2,10,0.0463872426527994,0.0014512964584187,1.1140764964215075,5,8470.179616407622
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,6,5,1,0.0002296458814554,8.100731914702104e-06,0.0148479247928859,5,75.76478608405799
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,6,5,10,0.3020139978743388,0.0048680371150393,1.1140764964215075,5,75.76478608405799
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,6,10,1,0.0065549965993581,0.0002413713868322,0.0148479247928859,5,4.739203373052354
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,6,10,10,0.628690388067666,0.0067889996325767,1.1140764964215075,5,4.739203373052354
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,6,15,1,0.0107370953081899,0.0003219254010872,0.0148479247928859,5,2.178503556485191
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,6,15,10,0.676886287642186,0.0030565973582088,1.1140764964215075,5,2.178503556485191
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,6,20,1,0.0143613084561714,0.0004321372620007,0.0148479247928859,5,1.8992060677795628
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,6,20,10,0.7688571401179618,0.0096271992363398,1.1140764964215075,5,1.8992060677795628
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,6,25,1,0.01320761023057,0.0002881104951114,0.0148479247928859,5,1.5433617349178677
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,6,25,10,0.6974223545885249,0.0074268778127803,1.1140764964215075,5,1.5433617349178677
monkeyT_session-y070312001-5_lfp-7,T,embedding,0,6,30,1,0.0139342670881144,0.0001691052124071,0.0148479247928859,5,1.861596285881016
