recording,monkey,session,day,channel,source_trials,source_short_trials,source_long_trials,selected_trials,trials_per_direction,geometry_heldout_median_residual,geometry_heldout_success_fraction,ar_orders,ar_10ms_nmse,ar_10ms_r2,all_bands,ktorus,ktorus_all_bands,ktorus_power_frequency,peak_frequency,peak_power,power_frequency
monkeyM_session-o080506002-22_lfp-1,M,o080506002-22,2008-05-06,1,410,213,197,198,33,0.7626156384736398,1.0,"15,15,18,17,15",0.0050643051270635,0.9949356948729364,0.219053234310793,0.1751432227460991,0.2020328992378681,0.1840850966259765,0.1431225398226833,0.163233406664624,0.1900366499157532
monkeyM_session-o080506002-22_lfp-2,M,o080506002-22,2008-05-06,2,410,213,197,198,33,0.7911837822269993,0.9949494949494949,"16,16,16,16,16",0.0016558705027517,0.9983441294972484,0.1586216415102203,0.1570669912299985,0.21558907042778,0.2049219920497782,0.1954047408792617,0.1905647966638927,0.2165124390965634
monkeyT_session-y070316009-12_lfp-7,T,y070316009-12,2007-03-16,7,404,203,201,198,33,0.8020809729790959,1.0,"15,18,15,15,15",0.0038135264112439,0.996186473588756,0.2259662857377129,0.1787744710038748,0.2461904369463348,0.2271820802932848,0.1714391903194569,0.161540528610915,0.186020869546993
monkeyT_session-y070316009-12_lfp-8,T,y070316009-12,2007-03-16,8,404,203,201,198,33,0.7381242290173602,1.0,"16,16,19,16,19",0.0023985208093889,0.9976014791906112,0.2443393876075823,0.1711768947340472,0.2208342626299282,0.2090175947591026,0.2098234444065017,0.2213236103142445,0.2728002394747803
