feature,stage,x,density
R1,0,0.5969530013750306,5.175136642783094e-07
R1,0,0.6154078702676896,6.522457500918116e-07
R1,0,0.6338627391603486,8.198069179008266e-07
R1,0,0.6523176080530076,1.027602547798299e-06
R1,0,0.6707724769456667,1.2845604598272505e-06
R1,0,0.6892273458383258,1.6014093138858756e-06
R1,0,0.7076822147309848,1.991000393000643e-06
R1,0,0.7261370836236438,2.468678014911619e-06
R1,0,0.7445919525163028,3.0527041673669397e-06
R1,0,0.7630468214089619,3.7647432840894577e-06
R1,0,0.7815016903016209,4.630413359297022e-06
R1,0,0.7999565591942799,5.6799098261156195e-06
R1,0,0.818411428086939,6.948708784554054e-06
R1,0,0.8368662969795979,8.478356243655473e-06
R1,0,0.855321165872257,1.0317350025499256e-05
R1,0,0.873776034764916,1.2522120851533877e-05
R1,0,0.8922309036575751,1.515811888053243e-05
R1,0,0.9106857725502341,1.8301011579648634e-05
R1,0,0.9291406414428931,2.203799827466984e-05
R1,0,0.9475955103355522,2.6469246033923788e-05
R1,0,0.9660503792282111,3.170945068653717e-05
R1,0,0.9845052481208703,3.788952575739056e-05
R1,0,1.0029601170135294,4.5158420919552946e-05
R1,0,1.0214149859061883,5.368507022589476e-05
R1,0,1.0398698547988472,6.366046889519228e-05
R1,0,1.0583247236915063,7.529987580928536e-05
R1,0,1.0767795925841654,8.884513714628987e-05
R1,0,1.0952344614768244,0.0001045671247544365
R1,0,1.1136893303694835,0.0001227682809895903
R1,0,1.1321441992621426,0.00014378525982785097
R1,0,1.1505990681548015,0.0001679916521559283
R1,0,1.1690539370474604,0.00019580078127023786
R1,0,1.1875088059401195,0.00022766855281450334
R1,0,1.2059636748327787,0.00026409634168662264
R1,0,1.2244185437254376,0.000305633896876682
R1,0,1.2428734126180965,0.0003528822437819186
R1,0,1.2613282815107556,0.00040649656229707084
R1,0,1.2797831504034147,0.0004671890179075668
R1,0,1.2982380192960736,0.0005357315221168359
R1,0,1.3166928881887328,0.0006129583978061416
R1,0,1.3351477570813919,0.0006997689245342762
R1,0,1.3536026259740508,0.0007971297383039371
R1,0,1.3720574948667097,0.0009060770599122569
R1,0,1.3905123637593688,0.001027718725618462
R1,0,1.408967232652028,0.0011632359934523294
R1,0,1.4274221015446868,0.0013138850980023336
R1,0,1.445876970437346,0.0014809985259154172
R1,0,1.464331839330005,0.0016659859835724833
R1,0,1.482786708222664,0.0018703350274493831
R1,0,1.501241577115323,0.002095611326524795
R1,0,1.519696446007982,0.002343458524769843
R1,0,1.5381513149006412,0.0026155976702926485
R1,0,1.5566061837933,0.0029138261761889393
R1,0,1.5750610526859592,0.0032400162766762336
R1,0,1.5935159215786183,0.0035961129408073386
R1,0,1.6119707904712772,0.003984131205148501
R1,0,1.6304256593639364,0.004406152886478683
R1,0,1.6488805282565953,0.004864322636057828
R1,0,1.6673353971492544,0.0053608432985839845
R1,0,1.6857902660419133,0.005897970541880477
R1,0,1.7042451349345724,0.006478006727898898
R1,0,1.7227000038272313,0.007103294002046365
R1,0,1.7411548727198904,0.007776206586380539
R1,0,1.7596097416125493,0.00849914227304577
R1,0,1.7780646105052085,0.009274513127581239
R1,0,1.7965194793978676,0.010104735427464446
R1,0,1.8149743482905265,0.010992218879427562
R1,0,1.8334292171831856,0.011939355179557399
R1,0,1.8518840860758445,0.01294850600271135
R1,0,1.8703389549685037,0.01402199053197984
R1,0,1.8887938238611626,0.015162072664309205
R1,0,1.9072486927538217,0.016370948054356963
R1,0,1.9257035616464806,0.017650731184464006
R1,0,1.9441584305391397,0.019003442673478498
R1,0,1.9626132994317989,0.020430997060156435
R1,0,1.9810681683244578,0.02193519131704496
R1,0,1.9995230372171169,0.02351769436714814
R1,0,2.017977906109776,0.025180037887307966
R1,0,2.036432775002435,0.026923608688174745
R1,0,2.0548876438950936,0.028749642960030384
R1,0,2.073342512787753,0.030659222665827553
R1,0,2.0917973816804123,0.03265327434700814
R1,0,2.1102522505730708,0.03473257058356202
R1,0,2.12870711946573,0.03689773431715765
R1,0,2.147161988358389,0.03914924620504612
R1,0,2.165616857251048,0.04148745512307734
R1,0,2.1840717261437073,0.0439125918790819
R1,0,2.202526595036366,0.04642478613384814
R1,0,2.220981463929025,0.04902408645697964
R1,0,2.2394363328216844,0.05171048337029985
R1,0,2.2578912017143433,0.054483935153637066
R1,0,2.2763460706070022,0.05734439610840551
R1,0,2.2948009394996616,0.060291846895143456
R1,0,2.31325580839232,0.06332632648394931
R1,0,2.3317106772849794,0.06644796518344899
R1,0,2.3501655461776383,0.06965701814642557
R1,0,2.368620415070297,0.07295389869038763
R1,0,2.3870752839629565,0.07633921072086335
R1,0,2.4055301528556154,0.07981377950567535
R1,0,2.4239850217482743,0.0833786800212755
R1,0,2.4424398906409337,0.08703526207856534
R1,0,2.4608947595335926,0.09078517143643336
R1,0,2.4793496284262515,0.09463036612716047
R1,0,2.497804497318911,0.09857312724924
R1,0,2.5162593662115693,0.10261606353013854
R1,0,2.5347142351042287,0.10676210902386352
R1,0,2.553169103996888,0.1110145133854213
R1,0,2.5716239728895465,0.11537682425560841
R1,0,2.590078841782206,0.11985286139404618
R1,0,2.608533710674865,0.12444668231471377
R1,0,2.6269885795675236,0.1291625393050183
R1,0,2.645443448460183,0.13400482784498366
R1,0,2.6638983173528423,0.1389780265856552
R1,0,2.682353186245501,0.14408662919335138
R1,0,2.70080805513816,0.14933506851682857
R1,0,2.7192629240308186,0.15472763368561018
R1,0,2.737717792923478,0.16026838089738918
R1,0,2.7561726618161373,0.16596103879817034
R1,0,2.7746275307087958,0.1718089094983583
R1,0,2.793082399601455,0.17781476639884725
R1,0,2.8115372684941144,0.18398075012096385
R1,0,2.829992137386773,0.19030826394046008
R1,0,2.8484470062794323,0.19679787021630157
R1,0,2.8669018751720916,0.20344918937750575
R1,0,2.88535674406475,0.2102608030836523
R1,0,2.9038116129574094,0.2172301632048927
R1,0,2.922266481850068,0.22435350827361045
R1,0,2.9407213507427272,0.23162578904082057
R1,0,2.9591762196353866,0.23904060472470376
R1,0,2.977631088528045,0.24659015146555144
R1,0,2.9960859574207044,0.25426518440035867
R1,0,3.0145408263133637,0.2620549946413717
R1,0,3.032995695206022,0.2699474022865821
R1,0,3.0514505640986815,0.27792876640741504
R1,0,3.069905432991341,0.28598401275133284
R1,0,3.0883603018839993,0.29409667966682346
R1,0,3.1068151707766587,0.30224898250799165
R1,0,3.125270039669318,0.31042189650892205
