original_trial_number,window_index,stage,stage_name,R1,R2,band_half_width,normal_x,normal_y,normal_z,u_x,u_y,u_z,v_x,v_y,v_z,mse,mean_error,frac_inside
159,0,0,pre_TC,3.725561714346464,1.2389375626715362,1.053238841568311,-0.4346618674881305,0.7888852726794517,-0.4344296116762737,0.555680807549323,0.6145372718316161,0.5599667683453069,0.7087227250999244,0.0019920038206538,-0.7054843236016768,0.0082523663873231,0.0105711748259202,0.8605442176870748
159,1,1,post_TC,4.749349617302802,1.596994754223839,1.3061871426267613,-0.428847456624072,0.7956484815815176,-0.4278239739707093,0.5629039359862721,0.6057585242121816,0.5623128748263219,0.7065614041243886,0.0003226473388376,-0.7076516643804825,0.0094465393717889,0.0096655208240018,0.8979591836734694
159,2,2,pre_SC,4.852407199090087,1.848162890751432,1.4712356738531964,-0.4247060194536191,0.7908334142064687,-0.4406895823756244,0.5605702053584708,0.6119483935813261,0.5579249129207229,0.7109049457587309,-0.0100833807710752,-0.7032158157550225,0.0117911854645741,0.010759396685481,0.9013605442176872
159,3,3,post_SC,3.3720687885847864,0.9538482183099138,0.8284079297641623,-0.4243232864256371,0.8044990899424578,-0.4156091467697794,0.568084949594943,0.5939272443593492,0.5696752745656256,0.7051448352222809,0.005625183505206,-0.7090409851834202,0.0069885946843139,0.0109513886079534,0.8367346938775511
159,4,4,pre_GO,8.317359531221404,1.987785117001903,2.19038410167118,-0.4462812738801479,0.8052423840425199,-0.3904071304746257,0.5698729986336994,0.5920919874268611,0.569799827880937,0.6899839056182022,0.0318085109118406,-0.7231254584243479,0.0121368342363932,0.010553306457107,0.9421768707482994
159,5,5,post_GO,3.38838000705555,0.8873852344440963,0.7181891885236922,-0.4181448110401121,0.8082475655302745,-0.414597141590018,0.5716112107291903,0.5888395938855066,0.5714267725977327,0.7059855103108973,0.0019507657820082,-0.7082235902198722,0.0087415450611051,0.0138357895323975,0.8503401360544217
16,6,0,pre_TC,3.455505166629424,1.2999777853370902,1.0427235778748036,-0.4313224836423172,0.7921268047638736,-0.4318518730759416,0.5611691120034946,0.6103553684461125,0.5590666793346027,0.7064348114566782,-0.0012039034788082,-0.7077770890461074,0.0055311669633893,0.0139012946409697,0.8469387755102041
16,7,1,post_TC,5.9928898122538055,1.3944855591319727,1.5360479166271148,-0.4211157954684947,0.8057329284235031,-0.4164804135382875,0.5683803407190859,0.5922669469776707,0.5711073907784812,0.7068276134185709,0.0037830638158988,-0.7073757228921361,0.0107037007278885,0.0118434624970868,0.9013605442176872
16,8,2,pre_SC,5.538153541232392,1.896013479366718,1.6318662423828043,-0.4370147393477808,0.7862899073703528,-0.4367680152670445,0.5554038567590915,0.6178573937509543,0.5565777545719959,0.7074918186734866,0.0006500421527236,-0.7067212349684153,0.0091248422935329,0.0098261907863013,0.8945578231292517
16,9,3,post_SC,4.534740132010832,1.348357552101442,1.2144034238124992,-0.4335822189078627,0.7926487145038774,-0.4286192655986018,0.5608798027054611,0.609673712114434,0.5600998229545242,0.705280303400015,0.0024454349218202,-0.708924335514042,0.0134583244616136,0.0090235444332336,0.8809523809523809
16,10,4,pre_GO,3.12687425791039,1.207915539658695,0.8543128898608072,-0.4345942409629486,0.7841069637113893,-0.443062202383756,0.5540529613166673,0.6206105216841795,0.5548584472017365,0.7100374368848941,-0.0043416395746855,-0.7041505438382714,0.0091569431589785,0.0141744041916533,0.8673469387755102
16,11,5,post_GO,3.53890232959887,1.0136131776541837,0.8816586987976504,-0.4284018475532568,0.8005151662118417,-0.4191030012750847,0.5620003609788369,0.5992491769059504,0.5701368416768012,0.707550317131307,0.0087116383286087,-0.7066092669113662,0.0099703122959468,0.0127792837982971,0.8639455782312925
566,12,0,pre_TC,8.237103378121454,2.012841073901648,2.288832125969786,-0.4134495057684648,0.8082666758674869,-0.4192427540959235,0.5754568787985591,0.5887798749736148,0.5676157498426864,0.705626591635571,-0.0065756754920967,-0.7085533668458502,0.0105591401029364,0.0060599726991606,0.9387755102040816
566,13,1,post_TC,5.353775701535105,1.3258629603348155,1.2913799810693316,-0.4180809971520658,0.8071310693629442,-0.4168305611268979,0.5706177781608347,0.5903717367656798,0.5708384742421163,0.7068264504580504,0.0008057898641433,-0.7073865418818541,0.0086199608264823,0.0087800745694606,0.8877551020408163
566,14,2,pre_SC,3.934037833512338,1.101066750460118,1.042958941919945,-0.4252399109264175,0.7994300618568756,-0.4243613959289942,0.5658199052200664,0.6007591652401764,0.56474442027937,0.7064126648157206,3.974215219204602e-05,-0.7078002157448908,0.0059249912578039,0.0083878957937821,0.8843537414965986
566,15,3,post_SC,5.140910229881193,1.2241283768691094,1.4367644471807093,-0.4270429363447768,0.8008927297233753,-0.4197679906737429,0.5657395122273073,0.5987900498960282,0.5669120570691017,0.7053886409794528,0.0046164512076467,-0.7088057234217344,0.0065617764685229,0.0098068361431077,0.8435374149659864
566,16,4,pre_GO,4.262785796175942,1.199302531475451,1.074816180131904,-0.4238440116363491,0.8010085141117271,-0.4227784456669111,0.5677098671002911,0.5986527394176295,0.5650844223518618,0.7057349081609723,-0.0005078467196075,-0.7084758157444284,0.007150478607302,0.0106387886708639,0.8775510204081632
566,17,5,post_GO,3.0805116452270638,0.6311153270973108,0.6883128325243523,-0.4161709738100195,0.8079364437096037,-0.4171815234210383,0.5704404928440587,0.5892696194228415,0.5721529164035495,0.7080955900737185,0.0001362025621755,-0.706116574488246,0.0059454321498707,0.0121793990405275,0.8163265306122449
673,18,0,pre_TC,3.614465518168123,1.3633282167943404,0.9803538530787222,-0.4295789778638738,0.7923733394372771,-0.4331355362082951,0.5624393548947683,0.6100243642734197,0.558150738652532,0.7064869948151816,-0.0038426477626722,-0.7077155927455503,0.0099310068702082,0.0108099099772209,0.8639455782312925
673,19,1,post_TC,3.948022703272866,1.1935859561831226,1.0921307806094926,-0.4274182473977356,0.792122887051436,-0.4357235059079854,0.5600758078616184,0.6103442337603505,0.5601740852303381,0.7096680429888355,-0.0046095688289307,-0.7045211285941734,0.0091058906157722,0.0134196983897457,0.8945578231292517
673,20,2,pre_SC,3.810508720403844,1.0147699129674288,0.913849528810354,-0.4273292784321919,0.7981377998951878,-0.4246948789108379,0.5644931049436092,0.6024733554168398,0.5642458599616816,0.7062132979955458,0.0013814453457479,-0.7079977890805953,0.0068299874923833,0.00893778809533,0.8809523809523809
673,21,3,post_SC,6.029181323895441,2.427004228726827,1.787560272319802,-0.4455778079306218,0.7862558625400121,-0.4280912702931507,0.5538670466225253,0.6177920382621412,0.5581794443774784,0.7033432389277539,0.0116067256954966,-0.7107556346405184,0.0135104051587032,0.0090895322012826,0.9183673469387756
673,22,4,pre_GO,5.467018019891192,1.6527019569562122,1.5046395977600246,-0.4170672191040827,0.8028857789117436,-0.4259452556022544,0.5683718252153614,0.5961068366066716,0.5671067868154511,0.7092308531431397,-0.0055736318563049,-0.7049542762320012,0.0101773982083708,0.0096227906570011,0.9183673469387756
673,23,5,post_GO,4.032921994045868,1.0739862737913104,1.0825502385640184,-0.4331677190853793,0.8077760824282946,-0.3998293733571447,0.5709589075146023,0.5891710518756665,0.5717371752487785,0.6974035080726951,0.0193719459145878,-0.7164168302318006,0.007915199859246,0.0147312575238308,0.8809523809523809
263,24,0,pre_TC,5.379615659705058,1.2901868831089298,1.393954210178572,-0.4222304312208957,0.8035505040502267,-0.4195569691849287,0.5671226468739623,0.595231645713217,0.5692725106170211,0.7071727980866398,0.0024239187614525,-0.7070366031996861,0.0098012675743001,0.0082217335016255,0.9217687074829932
