feature,stage,stage_name,n,mean,sd,q25,median,q75,minimum,maximum,bandwidth
R1,0,pre_TC,197,4.108190381217498,1.0072016517328477,3.436168832906603,3.917300265001895,4.642604523244209,2.0954574860732698,8.237103378121454,0.34613703431817555
R1,1,post_TC,195,4.120055655759811,1.0203452501316657,3.4173680619297775,3.8841023482473807,4.659373671928462,2.23387925555373,7.909044446955864,0.34613703431817555
R1,2,pre_SC,196,4.153655341172577,0.9761902056901831,3.449120365797511,3.9723654667841437,4.689201378330729,2.233464736143218,7.191152798521073,0.34613703431817555
R1,3,post_SC,198,4.043465854787564,1.005945207540163,3.3256602702563924,3.8496256940970226,4.640450235887111,2.469314774276434,8.258576667715467,0.34613703431817555
R1,4,pre_GO,196,3.9508129809824335,0.9059999578606287,3.3489817904452757,3.692487458769482,4.410365352317605,2.502610500951413,8.317359531221404,0.34613703431817555
R1,5,post_GO,195,3.684258675309712,0.9845501117989803,3.027694849110965,3.576225677842011,4.133109932572616,1.9815011386477328,8.642842868251092,0.34613703431817555
R2,0,pre_TC,197,1.3045019680577399,0.2606014860214065,1.1141055455802116,1.2680283988280596,1.4611909101939158,0.7943911268945479,2.49125269611677,0.09679948679787667
R2,1,post_TC,195,1.3185725173528722,0.2558085870535466,1.1271588838256625,1.2805509018412615,1.4624830990989075,0.7519801225814919,2.344280309238316,0.09679948679787667
R2,2,pre_SC,196,1.2924839989924641,0.27029454300864303,1.1131535041247798,1.2578881371583994,1.4635003327009477,0.7390764661469764,2.470014434354692,0.09679948679787667
R2,3,post_SC,198,1.237339122546479,0.29089485773102564,1.0418639190398895,1.1927488446162953,1.3649674773391753,0.6801981806501758,2.5378987277761,0.09679948679787667
R2,4,pre_GO,196,1.2737412860369866,0.22852778203026408,1.1279252074224848,1.247993879623358,1.4038218473615616,0.8511392305548027,2.211434328614579,0.09679948679787667
R2,5,post_GO,195,1.0108926904870599,0.23707939461645983,0.856157353592799,0.9782401228244167,1.1540253333772692,0.5254435341822064,1.857170449704633,0.09679948679787667
band_half_width,0,pre_TC,197,1.1032184555627134,0.2839124015590527,0.9150379948451286,1.0685462413128637,1.253731195864613,0.4755211177872912,2.288832125969786,0.10212832427031814
band_half_width,1,post_TC,195,1.105178281568541,0.29170604823372936,0.898185027405509,1.065927407915329,1.246612394200766,0.5572712044677904,2.059353627018369,0.10212832427031814
band_half_width,2,pre_SC,196,1.1042713169450848,0.30015987993442156,0.885165048533519,1.0527833694856226,1.2982851193477944,0.492842113721181,1.9383664858138068,0.10212832427031814
band_half_width,3,post_SC,198,1.0854304274238247,0.30606415013166743,0.8653267030604874,1.0252915607842765,1.2565266806141069,0.5649217092779506,2.411160365688904,0.10212832427031814
band_half_width,4,pre_GO,196,1.0585652435006179,0.26368302514498404,0.8662864042435207,1.0143798765214331,1.2102001776376672,0.6382005847242956,2.2206112895776373,0.10212832427031814
band_half_width,5,post_GO,195,0.9402387527416103,0.2818960411938926,0.7473320139215198,0.897906167618557,1.0632000385307467,0.4340035542505961,2.4153968805483035,0.10212832427031814
normal_x,0,pre_TC,197,-0.42943752372684135,0.007671796376302659,-0.4346926883492895,-0.4290756949019293,-0.4240833454830202,-0.4535121731638917,-0.4079332528161157,0.002726288639637361
normal_x,1,post_TC,195,-0.4293985008797917,0.0074810545001327815,-0.43437640355618024,-0.4294366372949942,-0.42360302322161225,-0.4450283516629852,-0.4071293956477863,0.002726288639637361
normal_x,2,pre_SC,196,-0.42878459920727235,0.007656874601120852,-0.43335366080410415,-0.42874023676623635,-0.4245415159062515,-0.4681950272333575,-0.4084476984535171,0.002726288639637361
normal_x,3,post_SC,198,-0.4283705340415173,0.00782120536741179,-0.43268166610139014,-0.4272067303340201,-0.4233490153981495,-0.452012619622866,-0.4021839782554359,0.002726288639637361
normal_x,4,pre_GO,196,-0.43066168778924585,0.0070847463837185815,-0.4343111233659637,-0.43059265773581246,-0.42622710680325687,-0.4533164769727211,-0.4142513546624057,0.002726288639637361
normal_x,5,post_GO,195,-0.4235804456229111,0.007384634025427128,-0.4276722021473443,-0.4231191872492026,-0.41906245496372896,-0.4440540929449201,-0.3917399885407038,0.002726288639637361
normal_y,0,pre_TC,197,0.794300603975658,0.007320407992188056,0.7895400113902171,0.795382674601576,0.7998664305164691,0.7690526154563331,0.8111058799689869,0.0024932025176221694
normal_y,1,post_TC,195,0.7942314595682886,0.007198734942850091,0.7888445399398053,0.7946480177585304,0.7996958800864185,0.7787159976174398,0.8102323507696216,0.0024932025176221694
normal_y,2,pre_SC,196,0.7954385371521829,0.006277246234430994,0.7916106768063289,0.7954743698990219,0.7993211077720409,0.7731193325388204,0.8104026710189133,0.0024932025176221694
normal_y,3,post_SC,198,0.7970530908804754,0.006623519116307314,0.7936073979139736,0.79820078758544,0.8011537356566729,0.7746012481863032,0.8103121109439487,0.0024932025176221694
normal_y,4,pre_GO,196,0.7939385722429203,0.006754911876642865,0.7903095202106144,0.7941840820690267,0.7985969292448323,0.7693162419999638,0.8095694623274328,0.0024932025176221694
normal_y,5,post_GO,195,0.8012552208299434,0.005978131413099408,0.7981027523025441,0.8019060846189144,0.8053744706764184,0.7838486359413642,0.8128243789332259,0.0024932025176221694
