file,size_bytes,divisible_by_32_int16_channels,samples,duration_s,duration_min
LFP0_250828.dat,3460300800,True,54067200,2703.36,45.056000000000004
LFP0_250829.dat,3535405056,True,55240704,2762.0352,46.033919999999995
LFP0_250830.dat,3472949248,True,54264832,2713.2416,45.22069333333333
LFP0_250906.dat,3552116736,True,55501824,2775.0912,46.25152
LFP0_250909.dat,3477864448,True,54341632,2717.0816,45.28469333333333
LFP0_250911.dat,4297588736,True,67149824,3357.4912,55.95818666666666
