mouse_ID,group,date,phase,label,channel,window_start_s,window_end_s,source_interval_start_s,source_interval_end_s,dat_file,session,session_channel,torus_R1,torus_R2,torus_r,torus_mse,torus_mean_error,torus_frac_inside,torus_n_x,torus_n_y,torus_n_z,torus_u_x,torus_u_y,torus_u_z,torus_v_x,torus_v_y,torus_v_z,torus_tau_ms,torus_analysis_fs,torus_fit_failed
ekez003,control,250830,mobile,0,12,260.0,262.0,258.0,270.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,2.605674575246244,0.30575711327624344,0.05836077942038697,0.4522896232179314,0.41687256647276844,0.05889724310776942,-0.07341914570315286,-0.705198160882045,0.7051986833028213,-0.5725608842851794,-0.5491586380447009,-0.6087682843623348,0.8165682230094443,-0.44846442907783685,-0.3634501245302969,2.0,400.0,0
ekez003,control,250830,mobile,0,12,262.0,264.0,258.0,270.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,1.9314415570335224,0.10238750220756504,0.01992801299120395,0.6378627738006469,0.5705195321415787,0.006265664160401002,0.6436831830348476,-0.7567417494099175,0.11407841415933627,-0.5771479304070615,-0.5779033149124199,-0.5769991551450333,0.5025656437753895,0.30556453215615054,-0.8087385797541881,2.0,400.0,0
ekez003,control,250830,mobile,0,12,264.0,266.0,258.0,270.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,2.0809724719874128,0.2554715993660829,0.11332759572730897,0.6008595541501659,0.5204607611974247,0.08395989974937343,0.18059816707890505,-0.7244829281177669,0.11290668301213827,0.5691447602955705,0.5783073678190139,0.5693884333685956,0.5476954512850947,0.025910754140839966,-0.5443992108320458,2.0,400.0,1
ekez003,control,250830,mobile,0,12,266.0,268.0,258.0,270.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,2.3182235357942527,0.11591153161050816,0.022471033919151607,1.296607941974344,0.8384026076646948,0.002506265664160401,0.10035534335772835,-0.7521013432334456,0.6513619382226264,-0.5769060160631623,-0.5773665386971226,-0.577777923272458,0.8106221398948429,-0.31779151892080937,-0.49183360683498517,2.0,400.0,0
ekez003,control,250830,immobile,1,12,726.0,728.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,2.0654580034171577,0.14764643868480626,0.030604426059718873,0.5913121112603031,0.5626157120889441,0.015037593984962405,0.5961141564016467,-0.7809128644138845,0.1866092460985968,-0.5771170183665217,-0.578331685574653,-0.5766007358390349,0.5581969720875014,0.23602448951732263,-0.7954298087816627,2.0,400.0,0
ekez003,control,250830,immobile,1,12,728.0,730.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,2.2166133969299002,0.13907159969056151,0.060163373455948035,0.6008595541501659,0.5589477222909637,0.07142857142857142,-0.32494757086700116,0.805480007297247,-0.4955916000409607,0.574015713882458,0.5844450171204376,0.5735241775000455,0.7516082998489076,-0.09811207777957133,-0.6522721700256802,2.0,400.0,0
ekez003,control,250830,immobile,1,12,730.0,732.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,2.141101011939002,0.1542106978229413,0.05160962399154011,1.9511442522256697,0.7281611291717709,0.03383458646616541,-4.8985133596615845e-05,-0.7044065055668847,0.7097967825473519,-0.5766132668624062,-0.5798962992655434,-0.5755322949882057,0.8170172201837121,-0.40930643411960393,-0.40614173007655113,2.0,400.0,0
ekez003,control,250830,immobile,1,12,732.0,734.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,2.081838444583194,0.14523300373467676,0.024738189537241162,0.4818789274330812,0.5089085269546951,0.016290726817042606,0.2561911273859631,-0.7968443686075204,0.5471792745218251,-0.5759845935214047,-0.5804442225988862,-0.5756094617668797,0.7762782067485601,-0.1677007950747868,-0.6076747395247925,2.0,400.0,0
ekez003,control,250830,immobile,1,12,734.0,736.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,2.2013429302850303,0.19490213373365586,0.04999971294027091,0.7448635158998101,0.5567298093963947,0.041353383458646614,-0.2455607900471987,0.7959078863398747,-0.5533810033353875,-0.5762966316497206,-0.5788875084639801,-0.5768634542866723,-0.7794755228604984,0.17725656265721582,0.6008311079282609,2.0,400.0,0
ekez003,control,250830,immobile,1,12,736.0,738.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,1.8709748978231417,0.120570104091195,0.021512478360844772,0.4764798887742491,0.5067236947188984,0.023809523809523808,0.3341916724384853,-0.811554633132296,0.4792650660263103,0.5768271977280182,0.578259417027335,0.5769631102405494,-0.7453766229444774,0.08363685825833553,0.6613762665129144,2.0,400.0,0
ekez003,control,250830,sleep,2,12,2385.0,2387.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,2.0126133743823127,0.28892392677305256,0.09203839242094793,0.6276523089762439,0.5588162871634154,0.03884711779448621,-0.6585155047229225,0.7467044942450246,-0.09375355093436558,0.5771050392516144,0.5810056074449553,0.5739183372100174,0.48301874053533417,0.3238284768058007,-0.813528127294499,2.0,400.0,0
ekez003,control,250830,sleep,2,12,2425.0,2427.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,1.822824382947063,0.27502701676091357,0.1728664335972009,0.34670225095140783,0.3888838901585904,0.18546365914786966,-0.2773540351197133,0.7989081603789456,-0.5336857600514037,-0.5744955545876973,-0.5831379384178557,-0.5743735740219491,-0.7700841492719199,0.1472952682752498,0.6207048469134632,2.0,400.0,0
ekez003,control,250830,sleep,2,12,2465.0,2467.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,2.210028784761244,0.38608388066353416,0.16783303463627078,0.6576057059555714,0.5580674657181901,0.10776942355889724,0.4952280875665713,-0.8031221600038937,0.3312762252183693,-0.5717856653698485,-0.5883995741979908,-0.5717054258612408,0.6540720863643277,0.09370558784303983,-0.7506057344864918,2.0,400.0,0
ekez003,control,250830,sleep,2,12,2505.0,2507.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,1.6374980705753468,0.2497049684391009,0.250829253854284,0.28883837915446986,0.33741727791258436,0.24436090225563908,0.3869348036388016,-0.8173102540539572,0.42694895051989123,0.5778135091742278,0.5757442213831403,0.5784895333173161,-0.7186188185309933,0.022859137356928377,0.6950283832264812,2.0,400.0,0
ekez003,control,250830,sleep,2,12,2545.0,2547.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,1.988981098251909,0.22378101399430828,0.11371397716134404,0.6143469092961871,0.5156607021790615,0.11779448621553884,-0.3770162457630397,0.8125974258802879,-0.44445941758777874,0.5755778933299173,0.5815149631221532,0.5749351584073941,0.7256506315981397,-0.03906112026590108,-0.6869537027651819,2.0,400.0,0
ekez003,control,250830,sleep,2,12,2585.0,2587.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,2.1415265711121085,0.2098657381173903,0.16717023372395015,0.5510500220775798,0.5055310279038139,0.19298245614035087,0.4163723797607236,-0.8144413085147348,0.4041279455274828,-0.5756410141586196,-0.5802002646429273,-0.5761988161431026,0.7037552587292064,0.007280651879539095,-0.7104051857336042,2.0,400.0,0
ekez003,control,250830,sleep,2,12,2625.0,2627.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12,2.530899829564451,0.30566029053503635,0.14895532442740894,0.8890610769777321,0.6044130476104503,0.12280701754385964,0.500170041694609,-0.79899797158896,0.3338145754564208,0.567707699226594,0.5936613586601617,0.5703281156234697,-0.6538638219295884,-0.09575193277036953,0.7505289266513119,2.0,400.0,0
