feature,real_mean,null_mean,paired_delta,paired_dz,fraction_real_gt_null_mean
torus_R1,2.1182419791194973,2.080987534191883,0.03725444492761478,0.12513137801884902,0.55
torus_R2,0.2594579173345568,0.2619164417332057,-0.0024585243986489595,-0.06387004395164644,0.365
torus_r,0.08520044900733335,0.08160206165535781,0.003598387351975557,0.24270202814028308,0.54625
torus_mean_error,0.5538646126453911,0.5109695209418592,0.042895091703531875,0.36498143919027565,0.655
torus_frac_inside,0.07373340430861719,0.062248058617234425,0.01148534569138277,0.5411471490448728,0.69125
