feature_set,accuracy,f1_mobile,f1_immobile,f1_sleep
band_power,0.6419270833333334,0.7338709677419355,0.5590551181102362,0.6353383458646616
lag_embed_stats,0.5520833333333334,0.7831325301204819,0.2169811320754717,0.5960912052117264
torus_6,0.5598958333333334,0.7605633802816901,0.30973451327433627,0.5826235093696763
all_torus_15,0.5625,0.772,0.34541577825159914,0.5573192239858906
