fold,held_out,permuted_group,rep,base_r2,permuted_r2,r2_drop
0,ekez003_250830,spectrum,0,0.2042725826710593,-0.10235902684014486,0.30663160951120416
0,ekez003_250830,spectrum,1,0.2042725826710593,-0.17567355233752835,0.37994613500858765
0,ekez003_250830,spectrum,2,0.2042725826710593,-0.24534558019581643,0.4496181628668757
0,ekez003_250830,spectrum,3,0.2042725826710593,-0.263243400386278,0.4675159830573373
0,ekez003_250830,spectrum,4,0.2042725826710593,-0.26385324813184696,0.46812583080290626
0,ekez003_250830,spectrum,5,0.2042725826710593,-0.2409230172304535,0.4451955999015128
0,ekez003_250830,spectrum,6,0.2042725826710593,-0.3080198884323806,0.5122924711034399
0,ekez003_250830,spectrum,7,0.2042725826710593,-0.22935150768759005,0.43362409035864935
0,ekez003_250830,spectrum,8,0.2042725826710593,-0.14412507616392722,0.3483976588349865
0,ekez003_250830,spectrum,9,0.2042725826710593,-0.21054529130839494,0.41481787397945424
0,ekez003_250830,spectrum,10,0.2042725826710593,-0.3185153257112596,0.5227879083823189
0,ekez003_250830,spectrum,11,0.2042725826710593,-0.11777485580998426,0.32204743848104356
0,ekez003_250830,spectrum,12,0.2042725826710593,-0.2570917708512066,0.4613643535222659
0,ekez003_250830,spectrum,13,0.2042725826710593,-0.3321381791271849,0.5364107617982442
0,ekez003_250830,spectrum,14,0.2042725826710593,-0.09026363866456832,0.2945362213356276
0,ekez003_250830,spectrum,15,0.2042725826710593,-0.2678601492500685,0.4721327319211278
0,ekez003_250830,spectrum,16,0.2042725826710593,-0.05849723247396721,0.2627698151450265
0,ekez003_250830,spectrum,17,0.2042725826710593,-0.3280905627157049,0.5323631453867642
0,ekez003_250830,spectrum,18,0.2042725826710593,-0.31290889953131606,0.5171814822023754
0,ekez003_250830,spectrum,19,0.2042725826710593,-0.2506277220526667,0.454900304723726
0,ekez003_250830,spectrum,20,0.2042725826710593,-0.33734673476370824,0.5416193174347675
0,ekez003_250830,spectrum,21,0.2042725826710593,-0.14945868797198636,0.35373127064304566
0,ekez003_250830,spectrum,22,0.2042725826710593,-0.31308213896492565,0.517354721635985
0,ekez003_250830,spectrum,23,0.2042725826710593,-0.17625444328086903,0.38052702595192833
0,ekez003_250830,spectrum,24,0.2042725826710593,-0.08673412235799405,0.29100670502905335
0,ekez003_250830,spectrum,25,0.2042725826710593,-0.22653249610638038,0.4308050787774397
0,ekez003_250830,spectrum,26,0.2042725826710593,-0.40748795190262266,0.611760534573682
0,ekez003_250830,spectrum,27,0.2042725826710593,-0.08824661990656524,0.29251920257762454
0,ekez003_250830,spectrum,28,0.2042725826710593,-0.27442264902305435,0.47869523169411365
0,ekez003_250830,spectrum,29,0.2042725826710593,-0.1918438239562943,0.3961164066273536
0,ekez003_250830,spectrum,30,0.2042725826710593,-0.13152121315199428,0.3357937958230536
0,ekez003_250830,spectrum,31,0.2042725826710593,-0.18827429892870406,0.39254688159976336
0,ekez003_250830,spectrum,32,0.2042725826710593,-0.24679735164194394,0.45106993431300324
0,ekez003_250830,spectrum,33,0.2042725826710593,-0.30847902731264765,0.512751609983707
0,ekez003_250830,spectrum,34,0.2042725826710593,-0.2056328211727383,0.4099054038437976
0,ekez003_250830,spectrum,35,0.2042725826710593,-0.19296624191396328,0.3972388245850226
0,ekez003_250830,spectrum,36,0.2042725826710593,-0.2060219171289297,0.410294499799989
0,ekez003_250830,spectrum,37,0.2042725826710593,-0.3254042123982108,0.5296767950692701
0,ekez003_250830,spectrum,38,0.2042725826710593,-0.17914001042933725,0.38341259310039655
0,ekez003_250830,spectrum,39,0.2042725826710593,-0.09659625350968937,0.30086883618074867
0,ekez003_250830,spectrum,40,0.2042725826710593,-0.3291793433613608,0.5334519260324201
0,ekez003_250830,spectrum,41,0.2042725826710593,-0.29451941832391815,0.49879200099497745
0,ekez003_250830,spectrum,42,0.2042725826710593,-0.21642653062392947,0.42069911329498877
0,ekez003_250830,spectrum,43,0.2042725826710593,-0.29355475033289946,0.49782733300395876
0,ekez003_250830,spectrum,44,0.2042725826710593,-0.1562372877317959,0.3605098704028552
0,ekez003_250830,spectrum,45,0.2042725826710593,-0.19363449900399865,0.39790708167505795
0,ekez003_250830,spectrum,46,0.2042725826710593,-0.34643800129750035,0.5507105839685597
0,ekez003_250830,spectrum,47,0.2042725826710593,-0.10544953767694132,0.3097221203480006
0,ekez003_250830,spectrum,48,0.2042725826710593,-0.20416187948308928,0.4084344621541486
0,ekez003_250830,spectrum,49,0.2042725826710593,-0.2636515229758256,0.4679241056468849
0,ekez003_250830,spectrum,50,0.2042725826710593,-0.1734514184883258,0.3777240011593851
0,ekez003_250830,spectrum,51,0.2042725826710593,-0.258284245970936,0.4625568286419953
0,ekez003_250830,spectrum,52,0.2042725826710593,-0.19669053548743842,0.4009631181584977
0,ekez003_250830,spectrum,53,0.2042725826710593,-0.2391700645717305,0.4434426472427898
0,ekez003_250830,spectrum,54,0.2042725826710593,-0.038249760686842604,0.2425223433579019
0,ekez003_250830,spectrum,55,0.2042725826710593,-0.16360228490640605,0.36787486757746535
0,ekez003_250830,spectrum,56,0.2042725826710593,-0.19718273772994488,0.4014553204010042
0,ekez003_250830,spectrum,57,0.2042725826710593,-0.18863122542523958,0.3929038080962989
0,ekez003_250830,spectrum,58,0.2042725826710593,-0.2654348664193589,0.46970744909041817
0,ekez003_250830,spectrum,59,0.2042725826710593,-0.18827159844912567,0.39254418112018497
0,ekez003_250830,spectrum,60,0.2042725826710593,-0.3097375684824091,0.5140101511534684
0,ekez003_250830,spectrum,61,0.2042725826710593,-0.22692908343564255,0.43120166610670185
0,ekez003_250830,spectrum,62,0.2042725826710593,-0.10207476478623678,0.3063473474572961
0,ekez003_250830,spectrum,63,0.2042725826710593,-0.2258637249077151,0.4301363075787744
0,ekez003_250830,spectrum,64,0.2042725826710593,-0.25340845304774495,0.45768103571880425
0,ekez003_250830,spectrum,65,0.2042725826710593,-0.17953424812306173,0.38380683079412103
0,ekez003_250830,spectrum,66,0.2042725826710593,-0.27439369382317325,0.47866627649423255
0,ekez003_250830,spectrum,67,0.2042725826710593,-0.3034618536379252,0.5077344363089845
0,ekez003_250830,spectrum,68,0.2042725826710593,-0.3546701585701093,0.5589427412411686
0,ekez003_250830,spectrum,69,0.2042725826710593,-0.214417581192474,0.4186901638635333
0,ekez003_250830,spectrum,70,0.2042725826710593,-0.31900084562370323,0.5232734282947625
0,ekez003_250830,spectrum,71,0.2042725826710593,-0.3101687133524622,0.5144412960235215
0,ekez003_250830,spectrum,72,0.2042725826710593,-0.3333574108487962,0.5376299935198555
0,ekez003_250830,spectrum,73,0.2042725826710593,-0.1994815853416254,0.4037541680126847
0,ekez003_250830,spectrum,74,0.2042725826710593,-0.25222232912699916,0.45649491179805846
0,ekez003_250830,spectrum,75,0.2042725826710593,-0.3470180942004608,0.5512906768715201
0,ekez003_250830,spectrum,76,0.2042725826710593,-0.23587935268296012,0.4401519353540194
0,ekez003_250830,spectrum,77,0.2042725826710593,-0.2656722324172833,0.4699448150883426
0,ekez003_250830,spectrum,78,0.2042725826710593,-0.2724422643903879,0.4767148470614472
0,ekez003_250830,spectrum,79,0.2042725826710593,-0.2772627422958047,0.481535324966864
