split,fold,held_out,n_train,n_test,accuracy,macro_f1,f1_mobile,f1_immobile,f1_sleep,confusion,feature_set
leave_session_out,0,ekez003_250830,642,68,0.6176470588235294,0.5505516705516705,0.64,0.24242424242424243,0.7692307692307693,"[[1.0, 0.0, 0.0], [0.6666666666666666, 0.3333333333333333, 0.0], [0.020833333333333332, 0.3541666666666667, 0.625]]",native_spectrum
leave_session_out,1,ekez003_250906,624,106,0.7641509433962265,0.6279194567547406,0.9620253164556962,0.14814814814814814,0.7735849056603774,"[[0.95, 0.025, 0.025], [0.0, 0.1111111111111111, 0.8888888888888888], [0.020833333333333332, 0.125, 0.8541666666666666]]",native_spectrum
leave_session_out,2,ekez003_250909,576,122,0.680327868852459,0.6364450961225154,0.7956989247311828,0.36363636363636365,0.75,"[[0.925, 0.025, 0.05], [0.4117647058823529, 0.29411764705882354, 0.29411764705882354], [0.041666666666666664, 0.20833333333333334, 0.75]]",native_spectrum
leave_session_out,3,ekez004_250828,534,177,0.576271186440678,0.5000776916899333,0.5154639175257731,0.2727272727272727,0.7120418848167539,"[[0.3472222222222222, 0.2777777777777778, 0.375], [0.0, 0.2727272727272727, 0.7272727272727273], [0.0, 0.05555555555555555, 0.9444444444444444]]",native_spectrum
leave_session_out,4,ekez004_250829,498,168,0.7857142857142857,0.7343039474187015,0.951048951048951,0.7272727272727273,0.5245901639344263,"[[0.9444444444444444, 0.05555555555555555, 0.0], [0.05, 0.8, 0.15], [0.0, 0.5555555555555556, 0.4444444444444444]]",native_spectrum
leave_session_out,5,ekez004_250911,471,159,0.7987421383647799,0.8087037507408348,0.8387096774193549,0.8,0.7874015748031497,"[[0.7222222222222222, 0.2777777777777778, 0.0], [0.0, 0.927536231884058, 0.07246376811594203], [0.0, 0.3055555555555556, 0.6944444444444444]]",native_spectrum
leave_session_out,0,ekez003_250830,642,68,0.5882352941176471,0.48629531388152075,0.5517241379310345,0.13793103448275862,0.7692307692307693,"[[1.0, 0.0, 0.0], [0.8333333333333334, 0.16666666666666666, 0.0], [0.0625, 0.3125, 0.625]]",highrate_dynamics
leave_session_out,1,ekez003_250906,624,106,0.7452830188679245,0.6551433004746258,0.891566265060241,0.30303030303030304,0.7708333333333334,"[[0.925, 0.05, 0.025], [0.16666666666666666, 0.2777777777777778, 0.5555555555555556], [0.0625, 0.16666666666666666, 0.7708333333333334]]",highrate_dynamics
leave_session_out,2,ekez003_250909,576,122,0.6475409836065574,0.6062271062271063,0.7115384615384616,0.32142857142857145,0.7857142857142857,"[[0.925, 0.0, 0.075], [0.7352941176470589, 0.2647058823529412, 0.0], [0.041666666666666664, 0.2708333333333333, 0.6875]]",highrate_dynamics
leave_session_out,3,ekez004_250828,534,177,0.519774011299435,0.49739242919389975,0.6029411764705882,0.3111111111111111,0.578125,"[[0.5694444444444444, 0.2916666666666667, 0.1388888888888889], [0.30303030303030304, 0.42424242424242425, 0.2727272727272727], [0.18055555555555555, 0.3055555555555556, 0.5138888888888888]]",highrate_dynamics
leave_session_out,4,ekez004_250829,498,168,0.7738095238095238,0.7442716200585154,0.9066666666666666,0.6782608695652174,0.647887323943662,"[[0.9444444444444444, 0.05555555555555555, 0.0], [0.15, 0.65, 0.2], [0.027777777777777776, 0.3333333333333333, 0.6388888888888888]]",highrate_dynamics
leave_session_out,5,ekez004_250911,471,159,0.5031446540880503,0.6021719393812418,0.918918918918919,0.3875968992248062,0.5,"[[0.9444444444444444, 0.05555555555555555, 0.0], [0.028985507246376812, 0.36231884057971014, 0.6086956521739131], [0.0, 0.4722222222222222, 0.5277777777777778]]",highrate_dynamics
leave_session_out,0,ekez003_250830,642,68,0.5882352941176471,0.4983974358974359,0.5384615384615384,0.1875,0.7692307692307693,"[[0.875, 0.125, 0.0], [0.75, 0.25, 0.0], [0.041666666666666664, 0.3333333333333333, 0.625]]",torus_shape
leave_session_out,1,ekez003_250906,624,106,0.6792452830188679,0.5845911812896022,0.8860759493670886,0.16666666666666666,0.7010309278350515,"[[0.875, 0.125, 0.0], [0.0, 0.16666666666666666, 0.8333333333333334], [0.08333333333333333, 0.20833333333333334, 0.7083333333333334]]",torus_shape
leave_session_out,2,ekez003_250909,576,122,0.6721311475409836,0.6534284429021271,0.7368421052631579,0.46153846153846156,0.7619047619047619,"[[0.875, 0.05, 0.075], [0.5294117647058824, 0.4411764705882353, 0.029411764705882353], [0.041666666666666664, 0.2916666666666667, 0.6666666666666666]]",torus_shape
leave_session_out,3,ekez004_250828,534,177,0.3728813559322034,0.3745911455294688,0.5272727272727272,0.366412213740458,0.23008849557522124,"[[0.4027777777777778, 0.3055555555555556, 0.2916666666666667], [0.06060606060606061, 0.7272727272727273, 0.21212121212121213], [0.09722222222222222, 0.7222222222222222, 0.18055555555555555]]",torus_shape
leave_session_out,4,ekez004_250829,498,168,0.7619047619047619,0.7348648597672532,0.8759124087591241,0.7286821705426356,0.6,"[[0.8333333333333334, 0.125, 0.041666666666666664], [0.05, 0.7833333333333333, 0.16666666666666666], [0.05555555555555555, 0.3611111111111111, 0.5833333333333334]]",torus_shape
leave_session_out,5,ekez004_250911,471,159,0.6729559748427673,0.7334121277783249,0.9090909090909091,0.6573426573426573,0.6338028169014085,"[[0.8333333333333334, 0.0, 0.16666666666666666], [0.0, 0.6811594202898551, 0.3188405797101449], [0.0, 0.375, 0.625]]",torus_shape
leave_session_out,0,ekez003_250830,642,68,0.6617647058823529,0.5930555555555556,0.6666666666666666,0.3125,0.8,"[[1.0, 0.0, 0.0], [0.5833333333333334, 0.4166666666666667, 0.0], [0.020833333333333332, 0.3125, 0.6666666666666666]]",spectrum_plus_torus
leave_session_out,1,ekez003_250906,624,106,0.7547169811320755,0.6251082251082251,0.961038961038961,0.13333333333333333,0.780952380952381,"[[0.925, 0.075, 0.0], [0.0, 0.1111111111111111, 0.8888888888888888], [0.0, 0.14583333333333334, 0.8541666666666666]]",spectrum_plus_torus
leave_session_out,2,ekez003_250909,576,122,0.7540983606557377,0.7245061578677877,0.7956989247311828,0.5357142857142857,0.8421052631578947,"[[0.925, 0.025, 0.05], [0.4117647058823529, 0.4411764705882353, 0.14705882352941177], [0.041666666666666664, 0.125, 0.8333333333333334]]",spectrum_plus_torus
leave_session_out,3,ekez004_250828,534,177,0.5875706214689266,0.5363408521303258,0.5,0.39473684210526316,0.7142857142857143,"[[0.3333333333333333, 0.2916666666666667, 0.375], [0.0, 0.45454545454545453, 0.5454545454545454], [0.0, 0.09722222222222222, 0.9027777777777778]]",spectrum_plus_torus
