feature_set,null_kind,rep,macro_f1
native_spectrum,session_channel_circular_shift,13,0.4625185060080481
native_spectrum,session_channel_circular_shift,14,0.22535572732070697
native_spectrum,session_channel_circular_shift,15,0.4472709134194674
native_spectrum,session_channel_circular_shift,16,0.31879568525966284
native_spectrum,session_channel_circular_shift,17,0.3424888652857219
native_spectrum,session_channel_circular_shift,18,0.4046734387121165
native_spectrum,session_channel_circular_shift,19,0.30014722378433306
native_spectrum,session_channel_circular_shift,20,0.28903172527779203
native_spectrum,session_channel_circular_shift,21,0.3049818327314008
native_spectrum,session_channel_circular_shift,22,0.2899619710317612
native_spectrum,session_channel_circular_shift,23,0.2770826775644699
native_spectrum,session_channel_circular_shift,24,0.3426911289343972
native_spectrum,session_channel_circular_shift,25,0.3567347165525742
native_spectrum,session_channel_circular_shift,26,0.3284525170486461
native_spectrum,session_channel_circular_shift,27,0.3508524483175253
native_spectrum,session_channel_circular_shift,28,0.4296033310079667
native_spectrum,session_channel_circular_shift,29,0.18968997690353206
native_spectrum,session_channel_circular_shift,30,0.4832613256430631
native_spectrum,session_channel_circular_shift,31,0.41263938079498136
native_spectrum,session_channel_circular_shift,32,0.4155550097092368
native_spectrum,session_channel_circular_shift,33,0.36047385455966635
native_spectrum,session_channel_circular_shift,34,0.5023417440512469
native_spectrum,session_channel_circular_shift,35,0.3147127340013088
native_spectrum,session_channel_circular_shift,36,0.2140960566985991
native_spectrum,session_channel_circular_shift,37,0.37085963520252063
native_spectrum,session_channel_circular_shift,38,0.4050131217932799
native_spectrum,session_channel_circular_shift,39,0.15971943872478445
native_spectrum,session_channel_circular_shift,40,0.46898334284981186
native_spectrum,session_channel_circular_shift,41,0.49592858915543186
native_spectrum,session_channel_circular_shift,42,0.2999484744295846
native_spectrum,session_channel_circular_shift,43,0.2771712288752452
native_spectrum,session_channel_circular_shift,44,0.1829334904329097
native_spectrum,session_channel_circular_shift,45,0.4042114389693519
native_spectrum,session_channel_circular_shift,46,0.3542055302745874
native_spectrum,session_channel_circular_shift,47,0.24667123119048504
native_spectrum,session_channel_circular_shift,48,0.3455358497277854
native_spectrum,session_channel_circular_shift,49,0.3121637867065172
native_spectrum,session_channel_circular_shift,50,0.4543900114140231
native_spectrum,session_channel_circular_shift,51,0.29560470751152795
native_spectrum,session_channel_circular_shift,52,0.4539184486222139
native_spectrum,session_channel_circular_shift,53,0.49201931957068323
native_spectrum,session_channel_circular_shift,54,0.24096005348420027
native_spectrum,session_channel_circular_shift,55,0.353513172033572
native_spectrum,session_channel_circular_shift,56,0.5306914250226529
native_spectrum,session_channel_circular_shift,57,0.38275671262574207
native_spectrum,session_channel_circular_shift,58,0.2548848358753359
native_spectrum,session_channel_circular_shift,59,0.43665361398249375
native_spectrum,session_channel_circular_shift,60,0.41732634002570484
native_spectrum,session_channel_circular_shift,61,0.3610740289971292
native_spectrum,session_channel_circular_shift,62,0.36152115890649
native_spectrum,session_channel_circular_shift,63,0.4762811117004179
native_spectrum,session_channel_circular_shift,64,0.3130646599028893
native_spectrum,session_channel_circular_shift,65,0.2455077502768502
native_spectrum,session_channel_circular_shift,66,0.5318576239619096
native_spectrum,session_channel_circular_shift,67,0.2456363759361824
native_spectrum,session_channel_circular_shift,68,0.24714370703578512
native_spectrum,session_channel_circular_shift,69,0.24120884271857815
native_spectrum,session_channel_circular_shift,70,0.3640692448589989
native_spectrum,session_channel_circular_shift,71,0.42333938301469454
native_spectrum,session_channel_circular_shift,72,0.27639162313096244
native_spectrum,session_channel_circular_shift,73,0.25538510057788577
native_spectrum,session_channel_circular_shift,74,0.2753866871946506
native_spectrum,session_channel_circular_shift,75,0.3706705547107365
native_spectrum,session_channel_circular_shift,76,0.273818558130219
native_spectrum,session_channel_circular_shift,77,0.48233181186507323
native_spectrum,session_channel_circular_shift,78,0.3702192041071597
native_spectrum,session_channel_circular_shift,79,0.3228952815784317
native_spectrum,session_channel_circular_shift,80,0.37219882767306584
native_spectrum,session_channel_circular_shift,81,0.328764881501684
native_spectrum,session_channel_circular_shift,82,0.3295886935970301
native_spectrum,session_channel_circular_shift,83,0.264677351043704
native_spectrum,session_channel_circular_shift,84,0.25702520948000024
native_spectrum,session_channel_circular_shift,85,0.27952957247070265
native_spectrum,session_channel_circular_shift,86,0.4337143951465972
native_spectrum,session_channel_circular_shift,87,0.3513065854306551
native_spectrum,session_channel_circular_shift,88,0.5357940711226857
native_spectrum,session_channel_circular_shift,89,0.3224264500672888
native_spectrum,session_channel_circular_shift,90,0.27813167606400846
native_spectrum,session_channel_circular_shift,91,0.21731280833005853
native_spectrum,session_channel_circular_shift,92,0.3203269418512259
native_spectrum,session_channel_circular_shift,93,0.29421650130906424
native_spectrum,session_channel_circular_shift,94,0.3486675170928358
native_spectrum,session_channel_circular_shift,95,0.38001217879533855
native_spectrum,session_channel_circular_shift,96,0.174822607926314
native_spectrum,session_channel_circular_shift,97,0.29165349608169794
native_spectrum,session_channel_circular_shift,98,0.39562840810158234
native_spectrum,session_channel_circular_shift,99,0.2946362620979963
torus_shape,label_permutation,0,0.31021755120801303
torus_shape,label_permutation,1,0.3060080431022293
torus_shape,label_permutation,2,0.28871034738597257
torus_shape,label_permutation,3,0.26707369237190154
torus_shape,label_permutation,4,0.2336660359223396
torus_shape,label_permutation,5,0.26796238405612943
torus_shape,label_permutation,6,0.24910810547166248
torus_shape,label_permutation,7,0.2658288321786989
torus_shape,label_permutation,8,0.2168232477753055
torus_shape,label_permutation,9,0.3878543525613541
torus_shape,label_permutation,10,0.29323617667809315
torus_shape,label_permutation,11,0.331500375582827
torus_shape,label_permutation,12,0.3173719085777435
torus_shape,label_permutation,13,0.32461483034882027
torus_shape,label_permutation,14,0.3822823335631467
torus_shape,label_permutation,15,0.29478761154961036
torus_shape,label_permutation,16,0.3829579867319157
torus_shape,label_permutation,17,0.4441008489572258
torus_shape,label_permutation,18,0.3067357063947875
torus_shape,label_permutation,19,0.3138823763928222
torus_shape,label_permutation,20,0.26202950896742533
torus_shape,label_permutation,21,0.3914197826273569
torus_shape,label_permutation,22,0.25526897731567216
torus_shape,label_permutation,23,0.3855300218882585
torus_shape,label_permutation,24,0.23532254838196928
torus_shape,label_permutation,25,0.25950360164664243
torus_shape,label_permutation,26,0.4386800025232744
torus_shape,label_permutation,27,0.281336617885133
torus_shape,label_permutation,28,0.27965344764516425
torus_shape,label_permutation,29,0.2732541447869997
torus_shape,label_permutation,30,0.3263280177010418
torus_shape,label_permutation,31,0.3845625650194417
torus_shape,label_permutation,32,0.21925611230722175
torus_shape,label_permutation,33,0.36887181382553885
torus_shape,label_permutation,34,0.26279916327435915
torus_shape,label_permutation,35,0.36112838228676036
torus_shape,label_permutation,36,0.37948245623189775
torus_shape,label_permutation,37,0.29639058700376525
torus_shape,label_permutation,38,0.4341995915400046
torus_shape,label_permutation,39,0.36934333768402344
torus_shape,label_permutation,40,0.3163277899855008
torus_shape,label_permutation,41,0.33748147197730066
torus_shape,label_permutation,42,0.3837534651378875
torus_shape,label_permutation,43,0.28299363497082436
torus_shape,label_permutation,44,0.45094252406167684
torus_shape,label_permutation,45,0.3480233391064163
torus_shape,label_permutation,46,0.31725476964500565
torus_shape,label_permutation,47,0.3903816468029126
torus_shape,label_permutation,48,0.21082022370084738
torus_shape,label_permutation,49,0.23637715068208917
torus_shape,label_permutation,50,0.3528449111533935
torus_shape,label_permutation,51,0.2781164130688774
torus_shape,label_permutation,52,0.23543632183897875
torus_shape,label_permutation,53,0.30888589289357765
torus_shape,label_permutation,54,0.33532816423000567
torus_shape,label_permutation,55,0.29259672017283583
torus_shape,label_permutation,56,0.30200103925884497
torus_shape,label_permutation,57,0.31608282762731404
torus_shape,label_permutation,58,0.4020342769287555
torus_shape,label_permutation,59,0.27179451008133165
torus_shape,label_permutation,60,0.25002853913942086
torus_shape,label_permutation,61,0.3473729150476929
torus_shape,label_permutation,62,0.2852371969411967
torus_shape,label_permutation,63,0.24467130674621596
torus_shape,label_permutation,64,0.2743416173757262
torus_shape,label_permutation,65,0.23088375699704036
torus_shape,label_permutation,66,0.30560282667048505
