table,feature_set,r2_mean,r2_sem,n_windows
full,native spectrum,0.3722396989317504,0.07470781161202539,800
full,torus shape,0.22969213059038443,0.06592870414233051,800
full,spectrum + torus,0.37242747076727994,0.08285879936059423,800
RMS matched,native spectrum,-0.09366112882837284,0.059365430011419126,117
RMS matched,torus shape,0.09360653949406324,0.10171836836143018,117
RMS matched,spectrum + torus,0.043932253053863946,0.08690131790500669,117
