group_col,fold,held_out,n_test,r2_onehot,brier,feature_set,split
session,0,ekez003_250830,68,0.24577958297859437,0.15679137678555854,native spectrum,leave session
session,1,ekez003_250906,106,0.4546025437686748,0.1180264392879985,native spectrum,leave session
session,2,ekez003_250909,122,0.3622434934547256,0.14042817337528854,native spectrum,leave session
session,3,ekez004_250828,177,0.08128275604251944,0.20339723601597318,native spectrum,leave session
session,4,ekez004_250829,168,0.5584789818701346,0.10767972358765251,native spectrum,leave session
session,5,ekez004_250911,159,0.5310508354758532,0.10863479591432362,native spectrum,leave session
session,0,ekez003_250830,68,0.11721168527204695,0.1835187594404122,torus shape,leave session
session,1,ekez003_250906,106,0.2756056414546437,0.15676216638450743,torus shape,leave session
session,2,ekez003_250909,122,0.30935089080089906,0.15207464267746337,torus shape,leave session
session,3,ekez004_250828,177,-0.01939808224105999,0.2256872325969005,torus shape,leave session
session,4,ekez004_250829,168,0.44617697861629924,0.13506833742971386,torus shape,leave session
session,5,ekez004_250911,159,0.24920566963947743,0.17392586451264888,torus shape,leave session
session,0,ekez003_250830,68,0.2042725826710593,0.16542007414986276,spectrum + torus,leave session
session,1,ekez003_250906,106,0.359210155056662,0.1386697771807961,spectrum + torus,leave session
session,2,ekez003_250909,122,0.449015923116898,0.1213216747794494,spectrum + torus,leave session
session,3,ekez004_250828,177,0.07986130166372085,0.20371193555347722,spectrum + torus,leave session
session,4,ekez004_250829,168,0.6307364024777983,0.0900573256525639,spectrum + torus,leave session
session,5,ekez004_250911,159,0.5114684596175411,0.11317116694516653,spectrum + torus,leave session
session,0,ekez003_250830,68,0.27620026125661057,0.15046736337738623,all non-F1 features,leave session
session,1,ekez003_250906,106,0.3489631545469434,0.14088727374174712,all non-F1 features,leave session
session,2,ekez003_250909,122,0.47522214206546065,0.1155513040811486,all non-F1 features,leave session
session,3,ekez004_250828,177,0.06273216028452211,0.20750420138365588,all non-F1 features,leave session
session,4,ekez004_250829,168,0.6275355481664772,0.09083796143961498,all non-F1 features,leave session
session,5,ekez004_250911,159,0.5124195443932409,0.11295084263643211,all non-F1 features,leave session
channel,0,12,316,0.44425024660800916,0.12152647920137463,native spectrum,leave channel
channel,1,18,168,0.4016527513457758,0.13403816579198882,native spectrum,leave channel
channel,2,19,316,0.4853820432388646,0.11253213885796269,native spectrum,leave channel
channel,0,12,316,0.3031824039112271,0.1523739571297748,torus shape,leave channel
channel,1,18,168,0.25817089086806033,0.1661801125396523,torus shape,leave channel
channel,2,19,316,0.29393290781988746,0.15439655576793299,torus shape,leave channel
channel,0,12,316,0.4924667127777813,0.11098292549328757,spectrum + torus,leave channel
channel,1,18,168,0.4446406516509184,0.12440827391714548,spectrum + torus,leave channel
channel,2,19,316,0.49519009968748107,0.11038739914240948,spectrum + torus,leave channel
channel,0,12,316,0.5046720788814456,0.10831396313947808,all non-F1 features,leave channel
channel,1,18,168,0.4409191708934288,0.12524193774009446,all non-F1 features,leave channel
channel,2,19,316,0.49253716384811896,0.11096751987145535,all non-F1 features,leave channel
mouse_ID,0,ekez003,296,0.2466817961719342,0.16487059328586848,native spectrum,leave mouse
mouse_ID,1,ekez004,504,-0.012150294028433484,0.23421092319816947,native spectrum,leave mouse
mouse_ID,0,ekez003,296,0.2204920094361712,0.17060246814992144,torus shape,leave mouse
mouse_ID,1,ekez004,504,0.09153374252625812,0.21021850422081065,torus shape,leave mouse
mouse_ID,0,ekez003,296,0.22159454174414073,0.17036116884929647,spectrum + torus,leave mouse
mouse_ID,1,ekez004,504,-0.0018250281070608665,0.2318216633441943,spectrum + torus,leave mouse
mouse_ID,0,ekez003,296,0.19624213667753732,0.17590977506020988,all non-F1 features,leave mouse
mouse_ID,1,ekez004,504,0.04589598818425267,0.2207790510488809,all non-F1 features,leave mouse
