torus_feature,spectrum_to_torus_loso_r2,raw_state_eta2,residual_state_eta2
torus_R1,-0.011249680793001371,0.020013305236948685,0.0033766566374136596
torus_R2,0.6427363087830982,0.1853906796266618,0.009040568770613594
torus_r,0.7062983533026231,0.19073726931692736,0.006526202853646295
torus_mse,-0.038957637745349105,0.0011862421323683818,0.002266963284107607
torus_mean_error,-0.03825353294372902,0.006937757609780795,0.004821722810580348
torus_frac_inside,0.6911826429633908,0.20904827688726108,0.03412217933866981
torus_n_x,-0.015454960193512557,0.009531826874685762,0.00824617352666257
torus_n_y,0.033134529779348054,0.018231663682727932,0.005234582463620357
torus_n_z,-0.0158479296849805,0.003717189565461699,0.003453639205332308
torus_u_x,0.03900449467044209,0.044178010608584416,0.012316148165998114
torus_u_y,0.038621033794338566,0.04420107491166524,0.012198384349441625
torus_u_z,0.039027060463072694,0.04421916745133295,0.012258266242015751
torus_v_x,-0.007404018365011034,0.026328128060227978,0.00599031990032087
torus_v_y,-0.0171068324832091,0.0033640138957439013,0.0037375072695967383
torus_v_z,-0.013249823325674148,0.030364910281992372,0.006906978735416813
