feature,stage,stage_name,bin_index,bin_lower,bin_upper,count,stage_n,fraction
band_half_width,0,pre_TC,16,2.0,2.125,1,197,0.005076142131979695
band_half_width,0,pre_TC,17,2.125,2.25,1,197,0.005076142131979695
band_half_width,0,pre_TC,18,2.25,2.375,1,197,0.005076142131979695
band_half_width,0,pre_TC,19,2.375,2.5,0,197,0.0
band_half_width,1,post_TC,0,0.0,0.125,0,195,0.0
band_half_width,1,post_TC,1,0.125,0.25,0,195,0.0
band_half_width,1,post_TC,2,0.25,0.375,0,195,0.0
band_half_width,1,post_TC,3,0.375,0.5,0,195,0.0
band_half_width,1,post_TC,4,0.5,0.625,2,195,0.010256410256410256
band_half_width,1,post_TC,5,0.625,0.75,11,195,0.05641025641025641
band_half_width,1,post_TC,6,0.75,0.875,32,195,0.1641025641025641
band_half_width,1,post_TC,7,0.875,1.0,33,195,0.16923076923076924
band_half_width,1,post_TC,8,1.0,1.125,32,195,0.1641025641025641
band_half_width,1,post_TC,9,1.125,1.25,36,195,0.18461538461538463
band_half_width,1,post_TC,10,1.25,1.375,19,195,0.09743589743589744
band_half_width,1,post_TC,11,1.375,1.5,8,195,0.041025641025641026
band_half_width,1,post_TC,12,1.5,1.625,11,195,0.05641025641025641
band_half_width,1,post_TC,13,1.625,1.75,3,195,0.015384615384615385
band_half_width,1,post_TC,14,1.75,1.875,4,195,0.020512820512820513
band_half_width,1,post_TC,15,1.875,2.0,2,195,0.010256410256410256
band_half_width,1,post_TC,16,2.0,2.125,2,195,0.010256410256410256
band_half_width,1,post_TC,17,2.125,2.25,0,195,0.0
band_half_width,1,post_TC,18,2.25,2.375,0,195,0.0
band_half_width,1,post_TC,19,2.375,2.5,0,195,0.0
band_half_width,2,pre_SC,0,0.0,0.125,0,196,0.0
band_half_width,2,pre_SC,1,0.125,0.25,0,196,0.0
band_half_width,2,pre_SC,2,0.25,0.375,0,196,0.0
band_half_width,2,pre_SC,3,0.375,0.5,1,196,0.00510204081632653
band_half_width,2,pre_SC,4,0.5,0.625,7,196,0.03571428571428571
band_half_width,2,pre_SC,5,0.625,0.75,9,196,0.04591836734693878
band_half_width,2,pre_SC,6,0.75,0.875,30,196,0.15306122448979592
band_half_width,2,pre_SC,7,0.875,1.0,32,196,0.16326530612244897
band_half_width,2,pre_SC,8,1.0,1.125,38,196,0.19387755102040816
band_half_width,2,pre_SC,9,1.125,1.25,21,196,0.10714285714285714
band_half_width,2,pre_SC,10,1.25,1.375,21,196,0.10714285714285714
band_half_width,2,pre_SC,11,1.375,1.5,14,196,0.07142857142857142
band_half_width,2,pre_SC,12,1.5,1.625,10,196,0.05102040816326531
band_half_width,2,pre_SC,13,1.625,1.75,8,196,0.04081632653061224
band_half_width,2,pre_SC,14,1.75,1.875,2,196,0.01020408163265306
band_half_width,2,pre_SC,15,1.875,2.0,3,196,0.015306122448979591
band_half_width,2,pre_SC,16,2.0,2.125,0,196,0.0
band_half_width,2,pre_SC,17,2.125,2.25,0,196,0.0
band_half_width,2,pre_SC,18,2.25,2.375,0,196,0.0
band_half_width,2,pre_SC,19,2.375,2.5,0,196,0.0
band_half_width,3,post_SC,0,0.0,0.125,0,198,0.0
band_half_width,3,post_SC,1,0.125,0.25,0,198,0.0
band_half_width,3,post_SC,2,0.25,0.375,0,198,0.0
band_half_width,3,post_SC,3,0.375,0.5,0,198,0.0
band_half_width,3,post_SC,4,0.5,0.625,4,198,0.020202020202020204
band_half_width,3,post_SC,5,0.625,0.75,14,198,0.0707070707070707
band_half_width,3,post_SC,6,0.75,0.875,35,198,0.17676767676767677
band_half_width,3,post_SC,7,0.875,1.0,40,198,0.20202020202020202
band_half_width,3,post_SC,8,1.0,1.125,27,198,0.13636363636363635
band_half_width,3,post_SC,9,1.125,1.25,27,198,0.13636363636363635
band_half_width,3,post_SC,10,1.25,1.375,21,198,0.10606060606060606
band_half_width,3,post_SC,11,1.375,1.5,12,198,0.06060606060606061
band_half_width,3,post_SC,12,1.5,1.625,7,198,0.03535353535353535
band_half_width,3,post_SC,13,1.625,1.75,5,198,0.025252525252525252
band_half_width,3,post_SC,14,1.75,1.875,2,198,0.010101010101010102
band_half_width,3,post_SC,15,1.875,2.0,1,198,0.005050505050505051
band_half_width,3,post_SC,16,2.0,2.125,2,198,0.010101010101010102
band_half_width,3,post_SC,17,2.125,2.25,0,198,0.0
band_half_width,3,post_SC,18,2.25,2.375,0,198,0.0
band_half_width,3,post_SC,19,2.375,2.5,1,198,0.005050505050505051
band_half_width,4,pre_GO,0,0.0,0.125,0,196,0.0
band_half_width,4,pre_GO,1,0.125,0.25,0,196,0.0
band_half_width,4,pre_GO,2,0.25,0.375,0,196,0.0
band_half_width,4,pre_GO,3,0.375,0.5,0,196,0.0
band_half_width,4,pre_GO,4,0.5,0.625,0,196,0.0
band_half_width,4,pre_GO,5,0.625,0.75,15,196,0.07653061224489796
