original_trial_number,window_index,stage,stage_name,R1,R2,band_half_width
124,71,5,post_GO,3.634854528994495,1.3373139327856247,0.9737851555254148
526,72,0,pre_TC,4.8496965349762,1.5154576342601374,1.2915869604036867
526,73,1,post_TC,2.886958267429485,1.1255884295714813,0.7936817919344153
526,74,2,pre_SC,3.865406880796837,1.1965138052203033,1.0415571552923888
526,75,3,post_SC,2.94104519017864,1.0831505514082704,0.8526301871037261
526,76,4,pre_GO,2.960202287743148,1.2120786852545349,0.807017869521371
526,77,5,post_GO,3.217780621712545,0.931592156853343,0.8108086742691915
382,78,0,pre_TC,4.092628808745482,1.0851511858439482,1.0531020321640832
382,79,1,post_TC,3.8083666707502393,1.6362258774077152,1.1162282286843512
382,80,2,pre_SC,5.648844550089528,2.1122947148645355,1.7701162722744543
382,81,3,post_SC,4.001887502975208,1.4326715600021995,1.162020574352984
382,82,4,pre_GO,3.006413741942147,0.9968443568511696,0.6876084836142744
382,83,5,post_GO,4.7576080242377286,1.2077452956181836,1.302722331164477
80,84,0,pre_TC,5.333667234080334,1.49237725482966,1.3269098649115796
80,85,1,post_TC,5.897886718732687,1.8817515294496472,1.6142983462451626
80,86,2,pre_SC,3.35039495732058,1.1459572760489427,0.8033328679262561
80,87,3,post_SC,3.810248867156144,1.1706174396276463,1.0240389121788591
80,88,4,pre_GO,5.471589825952679,1.5819388173579347,1.5255391272933367
80,89,5,post_GO,2.74847138733969,0.6990898687725379,0.6846893734652972
366,90,0,pre_TC,4.698078698379705,1.8128195750614904,1.4562331875199617
366,91,1,post_TC,7.23324465952004,1.8541837844570144,1.981099807240608
366,92,2,pre_SC,3.2079641075735323,1.2761493244065008,0.9764048232177536
366,93,3,post_SC,2.469314774276434,0.8538780188551283,0.5649217092779506
366,94,4,pre_GO,4.193008920375524,1.1495957072481164,1.054098238311733
366,95,5,post_GO,3.601393609812705,0.7499584785048625,0.7478491458687919
156,96,0,pre_TC,3.4330343144045896,1.0727969644985345,0.922874439598158
156,97,1,post_TC,3.6128498589699176,1.2140309988446345,1.016723092305361
156,98,2,pre_SC,4.030153998307783,1.206493152973112,1.0695224823737848
156,99,3,post_SC,3.7097648222720654,1.1699205406368756,1.0297374423373644
156,100,4,pre_GO,4.888962026866611,1.104214345073158,1.3416196653570798
156,101,5,post_GO,3.309418423616364,0.866126002171347,0.8337370656409856
690,102,0,pre_TC,3.412207296373606,0.9147750139883852,0.7421693700412778
690,103,1,post_TC,3.686037389767726,1.586065995500553,1.0797738517558082
690,104,2,pre_SC,5.180538604246582,1.219386143647012,1.3537250466281625
690,105,3,post_SC,4.027567197005259,1.239868077481494,1.0925943703037222
690,106,4,pre_GO,2.699898775165187,0.8762735180525493,0.6382005847242956
690,107,5,post_GO,4.027934836868434,1.0100993945047227,0.9706413036550136
265,108,0,pre_TC,4.944672447034733,1.3320312669060088,1.3360520948647368
265,109,1,post_TC,3.710021293099136,1.218647401872506,1.0233727321664376
265,110,2,pre_SC,3.361312310087904,1.1307360871888883,0.8801419321156163
265,111,3,post_SC,3.2273422961821625,0.922146111503334,0.8326590943504728
265,112,4,pre_GO,3.7346924442767313,1.412064778197337,1.0332862810650063
265,113,5,post_GO,3.809178127663743,1.192596528175764,1.016794716800132
445,114,0,pre_TC,3.0205211636347893,0.8430141893317384,0.7904524147863153
445,115,1,post_TC,4.259811569733663,1.421011761171091,1.1762680433389612
445,116,2,pre_SC,5.858155118182682,1.3853519781282029,1.4819427568396726
445,117,3,post_SC,4.417322835272252,1.336884068807497,1.259243944000121
445,118,4,pre_GO,3.538297943043477,1.7310472450438128,1.0362997356467891
445,119,5,post_GO,4.277197388251984,1.28246550060124,1.1817209297345177
462,120,0,pre_TC,3.668568303018311,1.1738777833580276,0.9600293239396204
462,121,1,post_TC,5.178966656778405,1.1581282498817806,1.2576773779298729
462,122,2,pre_SC,6.489826778915285,1.1870799177293996,1.6925478494319235
462,123,3,post_SC,5.890036481233643,1.9220790301042088,1.6047136966345728
462,124,4,pre_GO,3.244620522097856,1.104861263323616,0.9086349338745912
462,125,5,post_GO,4.095943513667391,0.917543339930416,1.000584019692461
152,126,0,pre_TC,3.7560722775157647,1.449495187384634,1.0749522016221815
152,127,1,post_TC,5.759162132354688,1.2695403452535046,1.5122011317971302
152,128,2,pre_SC,3.1918424740558997,1.2716176714441028,0.8868394206728198
152,129,3,post_SC,3.336487952522874,0.9961871110836362,0.8461249115795504
152,130,4,pre_GO,3.2158459026061554,1.0273353898558872,0.8229163506111047
152,131,5,post_GO,5.064721000783501,1.0495840840442447,1.1666227958182165
188,132,0,pre_TC,5.962944960254682,1.6640560550250718,1.6487948095892349
188,133,1,post_TC,4.890722300691772,1.441054055716367,1.4779482551248777
188,134,2,pre_SC,4.355838451372157,1.0924265415145735,1.1291228787499774
188,135,3,post_SC,2.9316249577646607,1.111776573023472,0.7994583845489139
188,136,4,pre_GO,3.538595030774814,1.4911167374688497,0.9863178499913658
188,137,5,post_GO,3.622276175802321,0.9169077455882718,0.8515435389915509
195,138,0,pre_TC,3.24043894479264,1.331116005400509,0.9769790191202732
195,139,1,post_TC,3.951843498890576,1.3881034797527867,1.158595225292706
